Player Name,Club Name,FoulsDrawnLeadingToShotAttempt,Position,FoulsDrawnLeadingToGoal,ActionsLeadingToShots,ShotCreatingActionsPer90Min,InPlayPassesThatLeadToShotAttempt,SetpiecesLeadingToShotAttempt,SuccessfulTakeOnsLeadingToShotAttempt,ShotsThatLeadToShotAttempt,DefensiveActionsLeadingToShotAttempt,GoalCreationAccuracy,InPlayPassesLeadingToGoal,SetpiecesLeadingToGoal,FoulsDrawnLeadingToGoal,ShotsAttemptLeadingToGoal,DefensiveActionsLeadingToGoal,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage,"PassesCompleted	",InGamePasses,SetPiecesPasses,FreeKickPasses,ThroughBalls,Switches,Crosses,ThrowInsTaken,CornersTaken,InswingingCorners,OutswingingCorners,StraightCorners,PassesCompleted,PassesOffside
Granit Xhaka,Leverkusen,3,MF,0,171,4.15,156,2,2,8,0,0.44,18,0,0,0,0,1,45,36,18,22,5,16,25,39,25,36,11,25,68,52,4,62,18,29,1.35,0.39,0.06,0.22,25.7,0,0,0,2.3,2.3,0.04,0.7,0.7,42,46.1,4601,123,650,2924,1051,20,35,17,48.6,14,40,2896,13104,6861,83,95,4,36,3817,65,30,61129,4261,17323,2141,2259,94.8,1392,74,0,498,337,78.9,7,0,0,41,65,0,17,25,36,0,1,0,281,33,27,55,4261,4157,97,61,17,22,17,22,2,1,0,0,3895,7
Álex Grimaldo,Leverkusen,3,DF,2,172,4.28,115,40,7,6,1,0.6,16,3,1,2,0,1,63,37,36,16,11,38,31,54.3,32,39,8,36,92,50,12,99,30,30.3,2.19,0.66,0.12,0.4,21.7,20,0,0,7.2,7.2,0.08,4.8,4.8,60,45.2,3162,75,562,1209,1413,135,68,30,44.1,33,48.5,1798,8472,4559,113,79,23,23,2168,334,27,32158,2764,8688,1405,1515,92.7,651,87,27,209,270,44.8,3,0,0,19,31,3,300,36,37,1,0,0,204,16,26,38.1,2764,2313,441,50,5,12,300,241,150,76,33,1,2270,10
Jonathan Tah,Leverkusen,0,DF,0,32,0.8,25,0,0,6,1,0.13,4,0,0,1,0,2,29,17,12,14,3,9,7,40.9,13,34,27,36,59,124,6,35,12,34.3,0.79,0.27,0.17,0.5,12.9,0,0,0,2.4,2.4,0.08,1.6,1.6,17,44.3,3278,301,1110,1999,183,48,11,6,54.5,4,36.4,2169,11261,6239,18,32,1,8,2456,7,27,44863,2971,17934,1414,1457,97,1220,4,1,181,162,81.5,10,0,0,43,6,1,5,36,17,0,1,0,206,82,35,70.1,2971,2913,54,43,1,8,5,2,0,0,0,0,2811,4
Edmond Tapsoba,Leverkusen,1,DF,0,52,1.53,49,1,0,1,0,0.21,7,0,0,0,0,3,47,36,25,20,2,23,17,65.7,12,34,17,29,75,81,3,25,8,32,0.65,0.21,0.12,0.38,16,0,0,0,1.8,1.8,0.08,0.2,0.2,15,38.7,3118,244,1061,1819,264,34,22,17,77.3,4,18.2,2235,13400,7844,66,68,1,9,2355,16,24,42476,2851,17312,1256,1323,94.9,1105,12,0,219,249,66.7,7,0,0,41,6,1,7,29,36,0,0,0,230,56,46,54.9,2851,2740,105,57,7,14,7,23,0,0,0,0,2590,6
Florian Wirtz,Leverkusen,9,"MF,FW",0,225,6.59,182,11,16,5,2,0.85,22,3,4,0,0,0,33,26,8,16,9,12,42,27.9,31,44,2,15,47,4,18,102,49,48,2.66,1.28,0.16,0.33,18.4,1,2,2,11.6,10.9,0.12,3.4,3.1,99,38.4,2880,8,185,1153,1580,219,198,94,47.5,92,46.5,1844,10704,5601,186,143,59,97,2330,371,20,26197,2381,7355,1252,1409,88.9,518,112,10,296,138,60.9,7,0,0,32,41,9,75,15,26,0,0,0,184,11,22,33.3,2381,2244,120,25,26,10,75,48,36,9,3,0,1965,17
Jeremie Frimpong,Leverkusen,5,"DF,MF",1,109,3.4,80,0,18,5,1,0.34,7,0,2,0,1,0,35,23,14,12,9,11,36,35.5,20,36,0,13,44,20,14,87,33,37.9,2.34,0.89,0.16,0.42,13.7,0,0,0,11.9,11.9,0.16,0.1,0.1,71,37.1,1675,24,191,485,1020,271,137,57,41.6,70,51.1,1050,7880,4662,186,81,91,47,1176,433,22,13572,1271,2781,660,761,86.7,260,49,21,60,63,60.3,7,0,0,31,48,19,133,13,23,1,0,0,109,15,26,36.6,1271,1138,128,4,4,4,133,124,0,0,0,0,987,5
Lukáš Hrádecký,Leverkusen,0,GK,0,2,0.06,2,0,0,0,0,0.03,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,35,939,777,925,14,0,0,0,0,,0,,543,2958,1580,0,1,1,0,456,0,33,16511,886,12037,186,187,99.5,360,0,0,1,320,48.8,3,0,0,0,1,0,0,0,0,0,0,0,51,8,1,88.9,886,695,186,41,0,2,0,0,0,0,0,0,706,5
Robert Andrich,Leverkusen,2,"MF,DF",0,64,2.35,56,0,0,5,1,0.33,9,0,0,0,0,0,40,29,14,18,8,17,15,53.1,15,25,10,33,67,22,6,45,14,31.1,1.38,0.43,0.13,0.43,21,2,0,0,2.1,2.1,0.06,2.9,2.9,14,32.5,2321,80,456,1508,371,22,15,9,60,5,33.3,1332,6188,2978,29,51,1,9,1785,17,28,28815,2114,8819,1046,1104,94.7,708,25,4,141,142,66.9,8,0,0,51,26,0,19,33,29,0,0,0,162,25,28,47.2,2114,2069,40,37,7,5,19,2,0,0,0,0,1907,5
Jonas Hofmann,Leverkusen,5,"MF,FW",2,183,6.62,127,40,4,6,1,0.8,12,7,0,1,0,0,24,21,8,10,6,11,21,39.3,17,21,0,10,34,10,8,71,31,43.7,2.32,1.01,0.11,0.26,18.4,0,0,0,7,7,0.1,0,0,41,30.7,1969,6,151,776,1053,129,38,19,50,19,50,1062,5483,2688,74,58,16,19,1545,254,31,21514,1750,4849,804,910,88.4,417,47,7,139,203,59.6,3,0,0,19,20,14,155,10,21,2,0,0,90,2,10,16.7,1750,1549,194,31,7,10,155,38,110,51,30,1,1406,7
Exequiel Palacios,Leverkusen,3,MF,0,81,3.02,73,1,2,1,1,0.34,9,0,0,0,0,2,86,55,40,34,12,35,28,49.3,36,28,0,37,122,32,6,34,9,26.5,1.15,0.31,0.09,0.33,22.7,0,3,3,4.2,2.6,0.09,-0.2,-0.6,28,29.5,2913,53,453,1862,625,34,36,27,75,9,25,1776,6649,3219,34,35,3,15,2364,73,24,34163,2640,10676,1500,1584,94.7,725,39,2,204,135,77,8,0,0,24,79,0,9,37,55,0,0,0,213,11,8,57.9,2640,2566,67,38,8,10,9,13,4,0,0,0,2431,7
