Player,Club,PerformanceScore
Andriy Lunin,Real Madrid,5.667572118858067
José Sá,Wolves,5.654938234157424
Giorgi Mamardashvili,Valencia,5.634688028417946
Michael Zetterer,Werder Bremen,5.592837334124037
Robin Zentner,Mainz 05,5.547955934517187
Mory Diaw,Clermont Foot,5.522002151540505
Ørjan Nyland,Sevilla,5.314313221882667
Rui Silva,Betis,5.185741955437359
Oliver Baumann,Hoffenheim,5.064740440158255
Arthur Desmas,Le Havre,5.055615624640009
Álvaro Vallés,Las Palmas,4.999999999999998
Jordan Pickford,Everton,4.984064692973651
Gregor Kobel,Dortmund,4.916200567842835
Alphonse Areola,West Ham,4.895918956675301
Vicente Guaita,Celta Vigo,4.856024537274387
David Soria,Getafe,4.71436575513604
Neto,Bournemouth,4.677179504675947
Guglielmo Vicario,Tottenham,4.580219780219781
Marco Bizot,Brest,4.559825922643984
Brice Samba,Lens,4.54783733522773
Vanja Milinković-Savić,Torino,4.536214116463864
Unai Simón,Athletic Club,4.402306690290947
Antonio Sivera,Alavés,4.336234092828006
Gianluigi Donnarumma,Paris S-G,4.3062606818579905
Álex Remiro,Real Sociedad,4.280506039386665
Lukáš Hrádecký,Leverkusen,4.276861326471509
Kevin Müller,Heidenheim,4.270610665403476
Marc-André ter Stegen,Barcelona,4.1217103921656495
Ederson,Manchester City,4.028722002635046
Paulo Gazzaniga,Girona,4.007206852961071
Emiliano Martínez,Aston Villa,4.0
Mile Svilar,Roma,3.962832804107129
Wladimiro Falcone,Lecce,3.567529266343909
Yann Sommer,Inter,3.5523314073314065
Michele Di Gregorio,Monza,3.4434491978609625
Pietro Terracciano,Fiorentina,3.3856651307803283
Lucas Chevalier,Lille,3.079823839141558
Marvin Schwäbe,Köln,3.0647843339511267
Benjamin Lecomte,Montpellier,3.041801318325434
Marcin Bułka,Nice,3.028036562792206
Alisson,Liverpool,2.825195597095023
Stole Dimitrievski,Rayo Vallecano,2.8046443919021335
Wojciech Szczęsny,Juventus,2.690758015494118
Caoimhín Kelleher,Liverpool,2.1128322649440463
