Player Name,Club Name,Country,Position,PostShotExpectedGoals/90min,90s,GoalsAgainst,PKAgainst,FKGoalsAgainst,CornerKickGoalsAgainst,OwnGoalsScoredAgainst,PostShotExpectedGoals,PostShotExpectedGoals/ShotOnTarget,PostShotExpectedGoals/90min,90s,LongPassesCompleted,LongPassesAttempted,LongPassesCompleted%,ShortPassesAttempted,ThrowsAttempted,Launch%,AveragePassLength,GKAttempted,/90,Cmp,CrossesStopped,CrossesStopped%,DefenseOutsidePenalyArea,DefenseOutsidePenalyArea/90min,AvgDistanceofDefenseOutsidePenalyArea,MatchesPlayed,MatchesStarted,Minutes,90s(MinutesPlayed/90s),GoalsAgainst,GoalsAgainst/90,ShotsOnTargetAgainst,Saves,Save%,Wins,Draws,Losses,CleanSheats,CleanSheats%,PKAttempted,PKAllowed,PKSaved,PKMissed,PKSave%
Lukáš Hrádecký,Leverkusen,FIN,GK,33,35,24,0,0,4,0,27.5,0.27,3.5,0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,27,8.6,39,1.18,16.5,35,35,"3,150",35,24,0.69,105,81,77.1,30,5,0,17,48.6,0,0,0,0,
Matej Kovar,Leverkusen,CZE,GK,23,17,17,3,0,1,0,17.7,0.27,5.7,0.44,30,72,41.7,344,72,15.7,25.3,68,26.5,29,10,7.9,16,1.23,15.8,17,17,"1,530",17,17,1,72,55,80.6,12,4,1,7,41.2,3,3,0,0,0
Niklas Lomb,Leverkusen,GER,GK,30,1,1,0,0,0,0,0.7,0.22,-0.3,-0.34,2,4,50,23,4,17.4,25.3,2,0,13,0,0,0,0,10,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
Andriy Lunin,Real Madrid,UKR,GK,24,31.7,32,2,1,2,0,33.1,0.28,6.1,0.21,66,181,36.5,752,134,17.7,26.5,170,28.2,31.6,37,9.7,26,0.9,11.2,31,31,"2,850",31.7,32,1.01,128,95,76.6,21,9,1,12,38.7,3,2,1,0,33.3
Kepa Arrizabalaga,Real Madrid,ESP,GK,28,19.6,18,1,0,1,1,14.3,0.26,1.3,0.08,42,113,37.2,509,83,18.1,27,89,23.6,29.5,10,4.7,12,0.69,14.1,20,19,"1,768",19.6,18,0.92,62,45,72.6,16,2,1,9,47.4,1,1,0,0,0
Thibaut Courtois,Real Madrid,BEL,GK,31,4.7,0,0,0,0,0,3.9,0.23,3.9,0.84,11,24,45.8,126,30,16.7,26.3,20,15,29.8,3,4.8,5,1.07,13.9,5,5,422,4.7,0,0,18,18,100,4,1,0,4,80,0,0,0,0,
Yann Sommer,Inter,SUI,GK,34,43.3,23,2,0,3,0,32.5,0.23,9.5,0.23,120,281,42.7,1314,152,17.4,26,240,21.7,27.5,24,4.8,18,0.44,11.9,43,43,"3,900",43.3,23,0.53,128,104,83.6,33,8,2,25,58.1,4,2,1,1,33.3
Emil Audero,Inter,ITA,GK,26,6.1,8,0,0,0,0,5.3,0.33,-0.7,-0.15,7,26,26.9,207,34,11.1,24.5,25,12,27.2,7,11.3,4,0.84,13.1,6,6,547,6.1,8,1.32,18,10,55.6,2,2,2,2,33.3,0,0,0,0,
Raffaele Di Gennaro,Inter,ITA,GK,29,0.3,0,0,0,0,0,0.5,0.13,0.5,2.08,1,2,50,15,3,13.3,25.2,1,0,10,0,0,0,0,,1,0,23,0.3,0,0,4,4,100,0,0,0,0,,0,0,0,0,
Ederson,Manchester City,BRA,GK,29,39.3,34,3,0,2,1,32.6,0.32,0.6,0.02,134,275,48.7,1346,166,17.2,26.8,137,31.4,33.8,29,10,56,1.48,16.9,41,41,"3,535",39.3,34,0.87,99,66,68.7,30,8,3,11,27.5,3,3,0,0,0
Stefan Ortega,Manchester City,GER,GK,30,18.1,20,0,0,2,1,13.4,0.33,0.4,0.04,45,106,42.5,406,42,22.4,27.1,32,46.9,40.7,6,7.2,21,2.09,17.9,20,16,"1,625",18.1,20,1.11,68,49,70.6,11,3,2,5,33.3,0,0,0,0,
David Raya,Arsenal,ESP,GK,27,41.3,31,3,1,6,1,26.4,0.25,-3.6,-0.09,178,472,37.7,1234,203,32.2,30.5,129,58.1,45.6,54,13,66,1.61,17.6,41,41,"3,720",41.3,31,0.75,92,61,69.6,28,5,8,20,48.8,4,3,1,0,25
Aaron Ramsdale,Arsenal,ENG,GK,25,11,12,0,0,1,0,4.9,0.26,-1.1,-0.16,22,78,28.2,199,33,32.7,32.1,27,48.1,40,8,13.6,9,1.29,14.7,11,11,990,11,12,1.09,35,23,65.7,6,3,2,3,30,0,0,0,0,
Gianluigi Donnarumma,Paris S-G,ITA,GK,24,41.1,38,3,0,5,0,45.2,0.26,10.2,0.28,67,166,40.4,924,158,13.5,25,202,20.3,25.1,17,4.2,41,1.14,14.1,42,42,"3,699",41.1,38,0.92,179,140,80.4,28,8,6,15,35.7,4,3,1,0,25
Keylor Navas,Paris S-G,CRC,GK,36,6,7,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10,23.5,18,5.6,22.2,0,0,5,1.25,16.3,6,6,540,6,7,1.17,21,14,71.4,4,2,0,2,33.3,1,1,0,0,0
Arnau Tenas,Paris S-G,ESP,GK,22,5.9,7,0,0,2,0,6,0.24,-1,-0.17,14,46,30.4,174,19,23,29.6,37,16.2,27.1,2,2.8,5,0.85,14.8,6,5,529,5.9,7,1.19,25,18,72,2,2,1,1,20,0,0,0,0,
Marc-André ter Stegen,Barcelona,GER,GK,31,36,37,3,0,2,0,37.5,0.27,0.5,0.01,123,240,51.3,1131,144,16.5,27.3,195,27.2,32,18,4.2,44,1.22,16.6,36,36,"3,240",36,37,1.03,133,96,74.4,25,6,5,17,47.2,3,3,0,0,0
Iñaki Peña ,Barcelona,ESP,GK,24,17.3,32,2,0,0,0,17.7,0.36,-3.3,-0.28,31,65,47.7,309,53,14.9,23.8,60,31.7,35.3,2,1.5,6,0.5,10.8,17,17,"1,560",17.3,32,1.85,72,42,58.3,10,2,5,3,17.6,2,2,0,0,0
Alisson,Liverpool,BRA,GK,30,32,32,1,0,4,1,29.3,0.26,0.3,0.01,72,209,34.4,1154,152,14.6,24.8,125,32.8,33.4,15,4.7,38,1.27,17.4,32,32,"2,880",32,32,1,123,91,74.8,20,8,4,11,34.4,1,1,0,0,0
Caoimhín Kelleher,Liverpool,IRL,GK,24,26.7,32,0,0,4,2,21.9,0.31,0.9,0.05,58,183,31.7,753,106,22,28.1,58,29.3,32,13,8.1,24,1.33,15.4,26,26,"2,400",26.7,32,1.2,111,81,71.2,19,3,4,5,19.2,0,0,0,0,
Alexander Nübel,Stuttgart,GER,GK,26,34,39,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,30,8.8,57,1.9,17.3,34,34,"3,060",34,39,1.15,118,82,69.5,23,3,8,14,41.2,3,3,0,0,0
Fabian Bredlow,Stuttgart,GER,GK,28,4,3,0,0,1,0,5,0.23,2,0.49,22,61,36.1,168,15,31.5,31,11,72.7,51.7,1,1.8,5,1.25,16.6,4,4,360,4,3,0.75,22,19,86.4,3,1,0,1,25,0,0,0,0,
Paulo Gazzaniga,Girona,ARG,GK,31,38,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1140,178,25.6,30,246,52,44.8,41,7.7,33,0.87,13.2,38,38,"3,420",38,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
Juan Carlos,Girona,ESP,GK,35,3,4,1,,,,,,,,,,,,,,,,,,,,,,,3,3,270,3,4,1.33,13,10,76.9,2,0,1,1,33.3,1,1,0,0,0
Toni Fuidias,Girona,ESP,GK,22,2,3,0,,,,,,,,,,,,,,,,,,,,,,,2,2,180,2,3,1.5,9,6,66.7,2,0,0,0,0,0,0,0,0,
Manuel Neuer,Bayern Munich,GER,GK,37,32.8,43,4,1,2,0,39.9,0.3,-1.1,-0.03,107,229,46.7,1094,144,19.3,28,128,14.1,26.1,12,3.9,43,1.35,17.8,33,33,"2,953",32.8,43,1.31,123,79,68.3,20,4,9,10,30.3,5,4,1,0,20
Sven Ulreich,Bayern Munich,GER,GK,34,15,20,3,1,2,0,17.2,0.36,0.2,0.01,39,116,33.6,466,71,22.5,27.1,66,16.7,25.3,6,4.2,18,1.29,18.2,15,15,"1,350",15,20,1.33,47,28,63.8,10,2,3,4,26.7,3,3,0,0,0
Daniel Peretz,Bayern Munich,ISR,GK,23,1.2,0,0,0,0,0,0,,0,0,0,4,0,15,3,26.7,33.1,2,0,16.5,0,0,0,0,,2,1,107,1.2,0,0,3,3,100,1,0,0,2,200,0,0,0,0,
Jan Oblak,Atlético Madrid,SVN,GK,30,55,68,2,0,5,1,51.6,0.27,-3.4,-0.07,148,435,34,954,226,28.6,31.9,347,46.7,38.5,47,6.5,25,0.52,11.4,54,54,"4,950",55,68,1.24,223,157,70.4,33,6,15,16,29.6,3,2,0,1,0
Mike Maignan,Milan,FRA,GK,28,41.1,52,10,2,7,0,44.2,0.21,-5.8,-0.15,160,374,42.8,1360,238,21.6,28.6,212,37.7,37.5,47,9.8,49,1.22,14.7,42,42,"3,699",41.1,52,1.27,172,120,75.6,24,7,11,12,28.6,10,10,0,0,0
Marco Sportiello,Milan,ITA,GK,31,7.9,12,1,0,0,1,9.5,0.25,-1.5,-0.19,22,56,39.3,245,46,20.8,27.2,24,20.8,28,5,5.6,9,1.14,15,9,7,710,7.9,12,1.52,35,24,68.6,3,3,1,3,42.9,1,1,0,0,0
Antonio Mirante,Milan,ITA,GK,40,3,4,0,0,1,0,3.1,0.41,0.1,0.05,5,14,35.7,46,5,26.1,29.2,8,25,29.4,1,5.9,1,0.51,11.9,3,3,267,3,4,1.35,11,7,63.6,1,1,1,0,0,0,0,0,0,
Lapo Nava,Milan,ITA,GK,19,0,1,0,0,0,0,0.9,0.5,-0.1,-2.83,1,1,100,1,0,100,43,0,,,0,,0,0,,1,0,3,0,1,30,2,1,50,0,0,0,0,,0,0,0,0,
