Player,Club,PerformanceScore
Andriy Lunin,Real Madrid,5.667572119
Jose Sa,Wolves,5.654938234
Giorgi Mamardashvili,Valencia,5.634688028
Michael Zetterer,Werder Bremen,5.592837334
Robin Zentner,Mainz 05,5.547955935
Mory Diaw,Clermont Foot,5.522002152
Nyland,Sevilla,5.314313222
Rui Silva,Betis,5.185741955
Oliver Baumann,Hoffenheim,5.06474044
Arthur Desmas,Le Havre,5.055615625
�lvaro ,Las Palmas,5
Jordan Pickford,Everton,4.984064693
Gregor Kobel,Dortmund,4.916200568
Alphonse Areola,West Ham,4.895918957
Vicente Guaita,Celta Vigo,4.856024537
David Soria,Getafe,4.714365755
Neto,Bournemouth,4.677179505
Guglielmo Vicario,Tottenham,4.58021978
Marco Bizot,Brest,4.559825923
Brice Samba,Lens,4.547837335
Vanja Milinkovic Savic,Torino,4.536214116
Unai Simon,Athletic Club,4.40230669
Antonio Sivera,Alavés,4.336234093
Gianluigi Donnarumma,Paris S-G,4.306260682
Álex Remiro,Real Sociedad,4.280506039
Lukáš Hrádecký,Leverkusen,4.276861326
Kevin Müller,Heidenheim,4.270610665
Marc-André ter Stegen,Barcelona,4.121710392
Ederson,Manchester City,4.028722003
Paulo Gazzaniga,Girona,4.007206853
Emiliano Martínez,Aston Villa,4
Mile Svilar,Roma,3.962832804
Wladimiro Falcone,Lecce,3.567529266
Yann Sommer,Inter,3.552331407
Michele Di Gregorio,Monza,3.443449198
Pietro Terracciano,Fiorentina,3.385665131
Lucas Chevalier,Lille,3.079823839
Marvin Schwäbe,Köln,3.064784334
Benjamin Lecomte,Montpellier,3.041801318
Marcin Bułka,Nice,3.028036563
Alisson,Liverpool,2.825195597
Stole Dimitrievski,Rayo Vallecano,2.804644392
Wojciech Szczęsny,Juventus,2.690758015
Caoimhín Kelleher,Liverpool,2.112832265
