Scaled_FoulsDrawnLeadingToShotAttempt,Scaled_DribblesWinningPerc,Scaled_CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),Scaled_TouchesInAtt1/3rd,Scaled_ShotCreatingActionsPer90Min,Scaled_NonPenaltyExpectedGoals,Scaled_SetPiecesPasses,Scaled_TacklesWon,Scaled_TouchesInDefensive1/3rd,Scaled_NonPenaltyGoals-NonPenaltyXG,Scaled_FoulsDrawn,Scaled_SucessfulTakeOns%,Scaled_TimesTackledByADefDuringTakeOn%,Scaled_Interceptions,Scaled_ShortPassesCompleted%,Scaled_InswingingCorners,Scaled_Clearances,Scaled_ThroughBalls,Scaled_TotalPassingDistance,Scaled_PassesIntoPenaltyArea,Scaled_TackleWon,Scaled_Shots,Scaled_ShortPassesCompleted,Scaled_TouchesInMid1/3rd,Scaled_ShotsAttemptLeadingToGoal,Scaled_TouchesInDefensivePenaltyArea,Scaled_SuccessfulTakeOnsLeadingToShotAttempt,Scaled_GoalCreationAccuracy,Scaled_Goals/Shot,Scaled_DistanceTravelledInCarries(Yards),Scaled_Goals,Scaled_TacklesinAtt3rd,Scaled_InGamePasses,Scaled_Switches,Scaled_PassesBlocked,Scaled_CarriesInFinalThird,Scaled_Goals-XG,Scaled_ShotsOnTarget%,Scaled_DistanceTravelledInCarries(Yards)TowardsOpponentGoal,Scaled_TacklesinMid3rd,Scaled_FoulsCommited,Scaled_Goals/ShotOnTarget,Scaled_AverageShotDistance,Scaled_Crosses,Scaled_TacklesAttempted,Scaled_CarriesInPenaltyArea,Scaled_MediumPassesCompleted,Scaled_AerialDuelWinningPercentage,Scaled_SetpiecesLeadingToGoal,Scaled_InPlayPassesThatLeadToShotAttempt,Scaled_AerialDuelWon,Scaled_OutswingingCorners,Scaled_Tackles+Interception,Scaled_LongPassesAttempted,Scaled_LongPassesCompleted%,Scaled_PassesCompleted,Scaled_SetpiecesLeadingToShotAttempt,Scaled_InPlayPassesLeadingToGoal,Scaled_CornersTaken,Scaled_TouchesInAttackingPenaltyArea,Scaled_TacklesinDef3rd,Scaled_NumberOfCarries,Scaled_BallsRecovered,Player,Club,Position,Cluster,Sum
0.421052632,0.521,0.44921875,0.813924051,0.056777778,0.158064516,0.126780627,0.692307692,0.372245663,0.558510638,0.352517986,0.667,0.231,0.377777778,0.941,0,0.223809524,0.404761905,1,0.531468531,0.692307692,0.411764706,0.946753853,1,0.285714286,0.086635326,0.294117647,0.008111111,0.11,1,0.204545455,0.52,1,0.528735632,0.377777778,0.743902439,0.560846561,0.321,0.935396602,0.571428571,0.594059406,0.33,0.381526104,0.058375635,0.552631579,0.108571429,0.98822837,0.686,0,0.882051282,0.285024155,0,0.585858586,0.407830343,0.848,1,0.025974026,0.875,0.016666667,0.330188679,0.356321839,1,0.922829582,Rodri,Manchester City,MF,4,30.73339341
0.157894737,0.448,0.3828125,0.785443038,0.056555556,0.203225806,0.551282051,0.615384615,0.4496015,0.218085106,0.244604317,0.563,0.406,0.255555556,0.944,0.601694915,0.161904762,0.142857143,0.715919085,0.601398601,0.615384615,0.308823529,0.888836992,0.708091499,0.142857143,0.097380792,0.147058824,0.004666667,0.06,0.822129959,0.113636364,0.72,0.77871772,0.229885057,0.255555556,0.524390244,0.232804233,0.333,0.676117303,0.371428571,0.306930693,0.19,0.36746988,0.791878173,0.526315789,0.051428571,0.649793996,0.421,0.2,0.702564103,0.077294686,0.86746988,0.515151515,0.358890701,0.541,0.796489564,0.792207792,0.458333333,0.927777778,0.264150943,0.413793103,0.900829082,0.562700965,Pascal Groß,Brighton,"MF,DF",2,28.21945491
0.105263158,0.327,0.375,0.805696203,0.064777778,0.222580645,0.478632479,0.549450549,0.219878106,0.345744681,0.294964029,0.448,0.466,0.433333333,0.872,0.423728814,0.280952381,0.761904762,0.442667106,0.678321678,0.549450549,0.656862745,0.406352172,0.426083988,0.285714286,0.071188717,0.235294118,0.006,0.07,0.468696454,0.340909091,0.68,0.472172752,0.298850575,0.433333333,0.408536585,0.365079365,0.358,0.418352992,0.442857143,0.554455446,0.19,0.431726908,0.741116751,0.532894737,0.154285714,0.358446145,0.431,0.5,0.830769231,0.120772947,0.807228916,0.560606061,0.402120718,0.515,0.42670778,0.688311688,0.541666667,0.955555556,0.377358491,0.379310345,0.498405612,0.75562701,Bruno Fernandes,Manchester Utd,"MF,FW",1,27.74299729
0.473684211,0.432,0.765625,0.974050633,0.061777778,0.396774194,0.236467236,0.527472527,0.101265823,0.430851064,0.690647482,0.388,0.454,0.188888889,0.888,1,0.128571429,0.166666667,0.272647318,0.573426573,0.527472527,0.602941176,0.390471742,0.206555138,0.142857143,0.02820685,0.411764706,0.007444444,0.11,0.588967972,0.454545455,1,0.358637578,0.057471264,0.188888889,0.524390244,0.497354497,0.309,0.511416513,0.457142857,0.504950495,0.37,0.301204819,0.560913706,0.539473684,0.508571429,0.227192466,0.388,0.2,0.81025641,0.125603865,0,0.5,0.17862969,0.434,0.320920304,0.376623377,0.875,0.772222222,1,0.287356322,0.474808673,0.601286174,Bukayo Saka,Arsenal,FW,1,26.88335945
0.421052632,0.505,0.2734375,0.514556962,0.042333333,0.164516129,0.186609687,0.791208791,0.306141585,0.441489362,1,0.542,0.313,0.544444444,0.903,0.008474576,0.133333333,0.666666667,0.518126099,0.552447552,0.791208791,0.284313725,0.477347034,0.569136224,0.285714286,0.071188717,0.294117647,0.005222222,0.12,0.78054567,0.159090909,0.52,0.548085485,0.32183908,0.544444444,0.530487805,0.444444444,0.345,0.507304404,0.485714286,0.673267327,0.35,0.327309237,0.104060914,0.664473684,0.108571429,0.518540318,0.417,0,0.646153846,0.096618357,0.012048193,0.717171717,0.276508972,0.634,0.517314991,0.103896104,0.541666667,0.016666667,0.251572327,0.620689655,0.659757653,0.919614148,Bruno Guimarães,Newcastle Utd,MF,3,26.08994603
0.157894737,0.543,0.44140625,0.894303797,0.047555556,0.232258065,0.628205128,0.406593407,0.263478669,0.595744681,0.223021583,0.441,0.485,0.4,0.927,0.644067797,0.238095238,0.119047619,0.441925022,0.608391608,0.406593407,0.485294118,0.656235404,0.412768863,0.285714286,0.050369375,0.205882353,0.006666667,0.12,0.558323448,0.272727273,0.44,0.514915405,0.137931034,0.4,0.481707317,0.597883598,0.303,0.493344876,0.228571429,0.188118812,0.4,0.409638554,0.76142132,0.414473684,0.131428571,0.383166569,0.381,0.3,0.58974359,0.077294686,0.397590361,0.464646465,0.220228385,0.448,0.538425047,0.519480519,0.666666667,0.833333333,0.424528302,0.413793103,0.573341837,0.655948553,Álex Grimaldo,Leverkusen,DF,4,25.98818637
0.052631579,0.526,0.30078125,0.648101266,0.052222222,0.061290323,0.556980057,0.571428571,0.314580403,0.345744681,0.26618705,0.483,0.414,0.288888889,0.939,0.525423729,0.20952381,0.404761905,0.705255057,0.468531469,0.571428571,0.176470588,0.527790752,0.617958348,0.142857143,0.071860309,0.058823529,0.004555556,0.06,0.773230526,0.045454545,0.24,0.625556545,0.252873563,0.288888889,0.518292683,0.349206349,0.306,0.550156909,0.357142857,0.237623762,0.18,0.445783133,0.73857868,0.447368421,0.034285714,0.773984697,0.323,0.5,0.523076923,0.048309179,0.987951807,0.46969697,0.387438825,0.602,0.656783681,0.792207792,0.333333333,0.961111111,0.110062893,0.425287356,0.663903061,0.636655949,Joshua Kimmich,Bayern Munich,"MF,DF",1,25.95132321
0,0.562,0.390625,0.517088608,0.027555556,0.116129032,0.195156695,0.714285714,0.345522738,0.521276596,0.158273381,0.552,0.373,0.644444444,0.927,0.36440678,0.319047619,0.047619048,0.595591469,0.300699301,0.714285714,0.31372549,0.561419897,0.623762376,0.142857143,0.085963734,0.147058824,0.003222222,0.11,0.871161197,0.159090909,0.44,0.614425646,0.298850575,0.644444444,0.530487805,0.523809524,0.328,0.726761173,0.671428571,0.405940594,0.33,0.37751004,0.195431472,0.638157895,0.091428571,0.668040024,0.5,0.5,0.394871795,0.241545894,0.012048193,0.777777778,0.22593801,0.646,0.610294118,0.246753247,0.291666667,0.3,0.235849057,0.448275862,0.685586735,0.745980707,Declan Rice,Arsenal,MF,1,25.75157388
0.052631579,0.41,0.15234375,0.398734177,0.051666667,0.061290323,0.46011396,0.538461538,0.379746835,0.292553191,0.35971223,0.636,0.273,0.344444444,0.97,0.381355932,0.095238095,0.166666667,0.798345427,0.216783217,0.538461538,0.205882353,0.690331621,0.761351997,0,0.063801209,0,0.005333333,0.02,0.715895611,0.022727273,0.44,0.691006233,0.896551724,0.344444444,0.365853659,0.296296296,0.429,0.603397901,0.485714286,0.227722772,0.06,0.479919679,0.441624365,0.486842105,0.011428571,0.678045909,0.643,0.6,0.492307692,0.043478261,0.65060241,0.52020202,0.48858075,0.763,0.745967742,0.649350649,0.416666667,0.744444444,0.050314465,0.333333333,0.779336735,0.659163987,Toni Kroos,Real Madrid,MF,5,25.58047007
0.052631579,0.6,0.34765625,0.617088608,0.037666667,0.032258065,0.794871795,0.582417582,0.378340366,0.446808511,0.136690647,0.514,0.457,0.411111111,0.888,0.474576271,0.461904762,0.047619048,0.459377748,0.517482517,0.582417582,0.083333333,0.391872957,0.399453738,0,0.077233042,0.176470588,0.004777778,0.18,0.435218136,0.068181818,0.36,0.446349065,0.16091954,0.411111111,0.304878049,0.44973545,0.353,0.375175847,0.485714286,0.346534653,0.5,0.375502008,1,0.493421053,0.091428571,0.477928193,0.527,0.7,0.369230769,0.140096618,0.831325301,0.565656566,0.365415987,0.444,0.44686907,0.61038961,0.291666667,0.888888889,0.169811321,0.367816092,0.472257653,0.633440514,David Raum,RB Leipzig,DF,5,25.11202338
