Scaled_FoulsDrawnLeadingToShotAttempt,Scaled_DribblesWinningPerc,Scaled_CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),Scaled_TouchesInAtt1/3rd,Scaled_ShotCreatingActionsPer90Min,Scaled_NonPenaltyExpectedGoals,Scaled_SetPiecesPasses,Scaled_TacklesWon,Scaled_TouchesInDefensive1/3rd,Scaled_NonPenaltyGoals-NonPenaltyXG,Scaled_FoulsDrawn,Scaled_SucessfulTakeOns%,Scaled_TimesTackledByADefDuringTakeOn%,Scaled_Interceptions,Scaled_ShortPassesCompleted%,Scaled_InswingingCorners,Scaled_Clearances,Scaled_ThroughBalls,Scaled_TotalPassingDistance,Scaled_PassesIntoPenaltyArea,Scaled_TackleWon,Scaled_Shots,Scaled_ShortPassesCompleted,Scaled_TouchesInMid1/3rd,Scaled_ShotsAttemptLeadingToGoal,Scaled_TouchesInDefensivePenaltyArea,Scaled_SuccessfulTakeOnsLeadingToShotAttempt,Scaled_GoalCreationAccuracy,Scaled_Goals/Shot,Scaled_DistanceTravelledInCarries(Yards),Scaled_Goals,Scaled_TacklesinAtt3rd,Scaled_InGamePasses,Scaled_Switches,Scaled_PassesBlocked,Scaled_CarriesInFinalThird,Scaled_Goals-XG,Scaled_ShotsOnTarget%,Scaled_DistanceTravelledInCarries(Yards)TowardsOpponentGoal,Scaled_TacklesinMid3rd,Scaled_FoulsCommited,Scaled_Goals/ShotOnTarget,Scaled_AverageShotDistance,Scaled_Crosses,Scaled_TacklesAttempted,Scaled_CarriesInPenaltyArea,Scaled_MediumPassesCompleted,Scaled_AerialDuelWinningPercentage,Scaled_SetpiecesLeadingToGoal,Scaled_InPlayPassesThatLeadToShotAttempt,Scaled_AerialDuelWon,Scaled_OutswingingCorners,Scaled_Tackles+Interception,Scaled_LongPassesAttempted,Scaled_LongPassesCompleted%,Scaled_PassesCompleted,Scaled_SetpiecesLeadingToShotAttempt,Scaled_InPlayPassesLeadingToGoal,Scaled_CornersTaken,Scaled_TouchesInAttackingPenaltyArea,Scaled_TacklesinDef3rd,Scaled_NumberOfCarries,Scaled_BallsRecovered,Player,Club,Position,Cluster,Sum
0.105263158,0.327,0.375,0.805696203,0.064777778,0.222580645,0.478632479,0.549450549,0.219878106,0.345744681,0.294964029,0.448,0.466,0.433333333,0.872,0.423728814,0.280952381,0.761904762,0.442667106,0.678321678,0.549450549,0.656862745,0.406352172,0.426083988,0.285714286,0.071188717,0.235294118,0.006,0.07,0.468696454,0.340909091,0.68,0.472172752,0.298850575,0.433333333,0.408536585,0.365079365,0.358,0.418352992,0.442857143,0.554455446,0.19,0.431726908,0.741116751,0.532894737,0.154285714,0.358446145,0.431,0.5,0.830769231,0.120772947,0.807228916,0.560606061,0.402120718,0.515,0.42670778,0.688311688,0.541666667,0.955555556,0.377358491,0.379310345,0.498405612,0.75562701,Bruno Fernandes,Manchester Utd,"MF,FW",1,27.74299729
0.473684211,0.432,0.765625,0.974050633,0.061777778,0.396774194,0.236467236,0.527472527,0.101265823,0.430851064,0.690647482,0.388,0.454,0.188888889,0.888,1,0.128571429,0.166666667,0.272647318,0.573426573,0.527472527,0.602941176,0.390471742,0.206555138,0.142857143,0.02820685,0.411764706,0.007444444,0.11,0.588967972,0.454545455,1,0.358637578,0.057471264,0.188888889,0.524390244,0.497354497,0.309,0.511416513,0.457142857,0.504950495,0.37,0.301204819,0.560913706,0.539473684,0.508571429,0.227192466,0.388,0.2,0.81025641,0.125603865,0,0.5,0.17862969,0.434,0.320920304,0.376623377,0.875,0.772222222,1,0.287356322,0.474808673,0.601286174,Bukayo Saka,Arsenal,FW,1,26.88335945
0.052631579,0.526,0.30078125,0.648101266,0.052222222,0.061290323,0.556980057,0.571428571,0.314580403,0.345744681,0.26618705,0.483,0.414,0.288888889,0.939,0.525423729,0.20952381,0.404761905,0.705255057,0.468531469,0.571428571,0.176470588,0.527790752,0.617958348,0.142857143,0.071860309,0.058823529,0.004555556,0.06,0.773230526,0.045454545,0.24,0.625556545,0.252873563,0.288888889,0.518292683,0.349206349,0.306,0.550156909,0.357142857,0.237623762,0.18,0.445783133,0.73857868,0.447368421,0.034285714,0.773984697,0.323,0.5,0.523076923,0.048309179,0.987951807,0.46969697,0.387438825,0.602,0.656783681,0.792207792,0.333333333,0.961111111,0.110062893,0.425287356,0.663903061,0.636655949,Joshua Kimmich,Bayern Munich,"MF,DF",1,25.95132321
0,0.562,0.390625,0.517088608,0.027555556,0.116129032,0.195156695,0.714285714,0.345522738,0.521276596,0.158273381,0.552,0.373,0.644444444,0.927,0.36440678,0.319047619,0.047619048,0.595591469,0.300699301,0.714285714,0.31372549,0.561419897,0.623762376,0.142857143,0.085963734,0.147058824,0.003222222,0.11,0.871161197,0.159090909,0.44,0.614425646,0.298850575,0.644444444,0.530487805,0.523809524,0.328,0.726761173,0.671428571,0.405940594,0.33,0.37751004,0.195431472,0.638157895,0.091428571,0.668040024,0.5,0.5,0.394871795,0.241545894,0.012048193,0.777777778,0.22593801,0.646,0.610294118,0.246753247,0.291666667,0.3,0.235849057,0.448275862,0.685586735,0.745980707,Declan Rice,Arsenal,MF,1,25.75157388
0.210526316,0.32,0.34375,0.692405063,0.054,0.216129032,0.484330484,0.32967033,0.217065166,0.196808511,0.424460432,0.55,0.325,0.311111111,0.922,0.644067797,0.1,0.523809524,0.613401495,0.461538462,0.32967033,0.299019608,0.621672116,0.640491635,0.142857143,0.0402955,0.176470588,0.005222222,0.07,0.717740873,0.113636364,0.2,0.614203028,0.252873563,0.311111111,0.62804878,0.174603175,0.344,0.574504924,0.242857143,0.237623762,0.19,0.351405622,0.545685279,0.243421053,0.062857143,0.620364921,0.323,0.4,0.707692308,0.048309179,0.759036145,0.323232323,0.320554649,0.598,0.636622391,0.727272727,0.583333333,1,0.311320755,0.172413793,0.651466837,0.742765273,İlkay Gündoğan,Barcelona,MF,1,24.99572932
0.263157895,0.476,0.296875,0.496835443,0.039333333,0.148387097,0.433048433,0.483516484,0.309892171,0.361702128,0.431654676,0.516,0.359,0.311111111,0.939,0.669491525,0.128571429,0.404761905,0.572779244,0.328671329,0.483516484,0.279411765,0.486221392,0.562990782,0,0.069173942,0.205882353,0.003888889,0.09,0.6526954,0.204545455,0.52,0.541184328,0.195402299,0.311111111,0.365853659,0.37037037,0.298,0.503949789,0.428571429,0.693069307,0.29,0.455823293,0.426395939,0.473684211,0.022857143,0.599764567,0.574,0.7,0.430769231,0.149758454,0.156626506,0.48989899,0.315660685,0.62,0.558111954,0.571428571,0.291666667,0.744444444,0.128930818,0.333333333,0.585140306,0.710610932,Douglas Luiz,Aston Villa,MF,1,24.864534
0.315789474,0.304,0.4296875,0.862658228,0.063777778,0.232258065,0.185185185,0.252747253,0.142522269,0.382978723,0.352517986,0.505,0.433,0.244444444,0.914,0.194915254,0.023809524,1,0.428127748,1,0.252747253,0.475490196,0.504437179,0.391942643,0.428571429,0.017461383,0.235294118,0.006777778,0.09,0.661328588,0.25,0.48,0.501780944,0.08045977,0.244444444,0.567073171,0.412698413,0.299,0.458716589,0.4,0.356435644,0.31,0.373493976,0.241116751,0.394736842,0.268571429,0.450853443,0.267,0.2,1,0.019323671,0.048192771,0.414141414,0.140293638,0.657,0.482447818,0.272727273,0.833333333,0.172222222,0.606918239,0.229885057,0.608737245,0.604501608,Martin Ødegaard,Arsenal,MF,1,23.9775757
0.105263158,0.686,0.5390625,0.542405063,0.033888889,0.074193548,0.452991453,0.725274725,0.294421003,0.430851064,0.237410072,0.573,0.338,0.533333333,0.926,0,0.361904762,0.142857143,0.458237137,0.328671329,0.725274725,0.210784314,0.516113965,0.509047456,0,0.079247817,0.323529412,0.003333333,0.09,0.649202583,0.090909091,0.52,0.471504898,0.367816092,0.533333333,0.487804878,0.433862434,0.326,0.577210259,0.457142857,0.514851485,0.29,0.387550201,0.274111675,0.631578947,0.297142857,0.440847557,0.492,0,0.476923077,0.154589372,0,0.727272727,0.200652529,0.646,0.485768501,0.038961039,0.375,0,0.305031447,0.586206897,0.533482143,0.681672026,João Cancelo,Barcelona,DF,1,23.69552511
0.263157895,0.574,0.2265625,0.331012658,0.023111111,0.190322581,0.056980057,0.593406593,0.382559775,0.239361702,0.143884892,0.581,0.387,0.411111111,0.864,0,0.333333333,0.19047619,0.58373186,0.321678322,0.593406593,0.328431373,0.457730033,0.660976442,0.857142857,0.081934184,0,0.004111111,0.06,0.681626466,0.090909091,0.48,0.621772039,0.275862069,0.411111111,0.396341463,0.243386243,0.194,0.532734553,0.514285714,0.900990099,0.31,0.31124498,0.096446701,0.631578947,0.028571429,0.646262507,0.585,0,0.441025641,0.516908213,0,0.671717172,0.276508972,0.658,0.555502846,0,0.458333333,0,0.323899371,0.551724138,0.636479592,0.884244373,Bryan Cristante,Roma,"MF,DF",1,23.66689024
0.052631579,0.563,0.359375,0.638607595,0.041666667,0.058064516,1,0.450549451,0.277543366,0.404255319,0.136690647,0.25,0.688,0.255555556,0.918,0.355932203,0.247619048,0,0.506032872,0.363636364,0.450549451,0.137254902,0.379729099,0.430863776,0,0.049026192,0.088235294,0.004,0.11,0.450046132,0.068181818,0.12,0.419189671,0.229885057,0.255555556,0.512195122,0.365079365,0.25,0.406990585,0.428571429,0.623762376,0.43,0.495983936,0.885786802,0.394736842,0.04,0.538552089,0.361,0.7,0.374358974,0.062801932,0.951807229,0.409090909,0.389885808,0.479,0.471062619,0.74025974,0.166666667,0.905555556,0.075471698,0.310344828,0.452168367,0.430868167,Cristiano Biraghi,Fiorentina,DF,1,23.41167817
