Player Name,Club Name,Country,Position,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances
Granit Xhaka,Leverkusen,SUI,MF,1,45,36,18,22,5,16,25,39,25,36,11,25,68,52
Álex Grimaldo,Leverkusen,ESP,DF,1,63,37,36,16,11,38,31,54.3,32,39,8,36,92,50
Jonathan Tah,Leverkusen,GER,DF,2,29,17,12,14,3,9,7,40.9,13,34,27,36,59,124
Edmond Tapsoba,Leverkusen,BFA,DF,3,47,36,25,20,2,23,17,65.7,12,34,17,29,75,81
Florian Wirtz,Leverkusen,GER,"MF,FW",0,33,26,8,16,9,12,42,27.9,31,44,2,15,47,4
Jeremie Frimpong,Leverkusen,NED,"DF,MF",0,35,23,14,12,9,11,36,35.5,20,36,0,13,44,20
Lukáš Hrádecký,Leverkusen,FIN,GK,2,0,0,0,0,0,0,1,0,1,1,0,0,0,10
Robert Andrich,Leverkusen,GER,"MF,DF",0,40,29,14,18,8,17,15,53.1,15,25,10,33,67,22
Jonas Hofmann,Leverkusen,GER,"MF,FW",0,24,21,8,10,6,11,21,39.3,17,21,0,10,34,10
Exequiel Palacios,Leverkusen,ARG,MF,2,86,55,40,34,12,35,28,49.3,36,28,0,37,122,32
Piero Hincapié,Leverkusen,ECU,DF,1,54,41,27,22,5,18,15,60,12,29,14,34,84,72
Josip Stanišić,Leverkusen,CRO,DF,0,53,34,29,18,6,29,21,56.9,22,26,5,19,68,42
Odilon Kossonou,Leverkusen,CIV,DF,1,35,23,14,13,8,19,27,55.9,15,31,4,32,64,51
Amine Adli,Leverkusen,MAR,"MF,FW",0,37,24,7,16,14,17,24,51.5,16,26,2,10,47,12
Victor Boniface,Leverkusen,NGA,FW,0,9,7,0,4,5,1,6,14.3,6,7,1,2,11,17
Patrik Schick,Leverkusen,CZE,"FW,MF",0,10,6,1,5,4,3,5,33.3,6,5,0,1,11,9
Matej Kovar,Leverkusen,CZE,GK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Nathan Tella,Leverkusen,NGA,"DF,FW",0,17,11,6,8,3,8,19,42.1,11,19,0,7,24,13
Adam Hložek,Leverkusen,CZE,"FW,MF",0,12,7,2,5,5,4,7,44.4,5,9,2,4,16,3
Borja Iglesias,Leverkusen,ESP,FW,0,5,2,1,3,1,1,2,25,3,2,0,1,6,1
Gustavo Puerta,Leverkusen,COL,MF,0,8,5,2,4,2,1,5,25,3,5,0,2,10,2
Arthur,Leverkusen,BRA,DF,0,4,3,2,0,2,2,0,100,0,1,1,1,4,7
Nadiem Amiri,Leverkusen,GER,MF,0,4,2,0,3,1,0,0,0,3,0,0,1,4,1
Noah Mbamba,Leverkusen,BEL,FW,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1
Niklas Lomb,Leverkusen,GER,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Ken Izekor,Leverkusen,GER,DF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Ayman Aourir,Leverkusen,GER,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Federico Valverde,Real Madrid,URU,"MF,FW",0,68,51,34,19,15,34,46,54.8,28,52,6,60,124,58
Antonio Rüdiger,Real Madrid,GER,DF,0,37,21,27,6,4,23,9,79.3,6,48,39,15,52,124
Rodrygo,Real Madrid,BRA,FW,0,24,20,5,11,8,7,26,22.6,24,27,1,10,34,8
Jude Bellingham,Real Madrid,ENG,"MF,FW",0,62,50,22,25,15,17,55,35.4,31,62,7,30,90,24
Dani Carvajal,Real Madrid,ESP,DF,4,71,54,41,26,4,34,29,56.7,26,45,16,32,102,81
Toni Kroos,Real Madrid,GER,MF,1,74,49,29,34,11,34,22,41,49,26,4,31,103,20
Nacho,Real Madrid,ESP,DF,0,28,19,15,11,2,9,11,42.9,12,27,16,30,56,88
Vinicius Júnior,Real Madrid,BRA,FW,2,26,19,10,8,8,4,19,26.7,11,20,1,3,28,4
Andriy Lunin,Real Madrid,UKR,GK,2,0,0,0,0,0,0,0,0,2,0,0,0,0,21
Ferland Mendy,Real Madrid,FRA,DF,1,29,20,22,5,2,21,19,75,7,22,3,21,48,42
Eduardo Camavinga,Real Madrid,FRA,MF,1,101,62,52,35,14,33,43,55.9,26,57,14,40,139,49
Aurélien Tchouaméni,Real Madrid,FRA,"MF,DF",1,47,30,25,20,2,11,11,42.3,15,30,19,43,84,64
Luka Modrić,Real Madrid,CRO,MF,1,28,21,13,8,7,13,9,41.9,18,13,4,27,54,15
Joselu,Real Madrid,ESP,FW,0,7,3,2,4,1,0,10,0,7,11,1,7,13,15
Brahim Díaz,Real Madrid,MAR,"MF,FW",0,37,25,6,20,11,7,15,46.7,8,17,2,6,42,2
Lucas Vázquez,Real Madrid,ESP,DF,0,42,30,24,17,1,19,24,61.3,12,29,5,13,55,39
Kepa Arrizabalaga,Real Madrid,ESP,GK,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
Fran Garcia,Real Madrid,ESP,DF,1,26,20,12,12,2,14,14,40,21,17,3,21,46,34
David Alaba,Real Madrid,AUT,DF,1,14,10,7,6,1,5,3,55.6,4,11,8,18,32,43
Dani Ceballos,Real Madrid,ESP,MF,1,13,7,5,6,2,6,8,33.3,12,10,2,5,16,6
Éder Militão,Real Madrid,BRA,DF,1,8,4,5,3,0,6,1,66.7,3,4,3,4,12,23
Arda Güler,Real Madrid,TUR,MF,0,6,4,1,3,2,5,0,62.5,3,0,0,3,8,5
Thibaut Courtois,Real Madrid,BEL,GK,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Nicolás Paz,Real Madrid,ARG,MF,0,2,2,1,1,0,1,6,50,1,6,0,1,3,1
Álvaro Carrillo,Real Madrid,ESP,DF,,,2,,,,,,,,,,2,0,
Vinicius Tobias,Real Madrid,BRA,DF,,,1,,,,,,,,,,0,0,
Mario Martín,Real Madrid,ESP,MF,0,5,1,0,2,3,3,1,75,1,2,1,0,5,0
Gonzalo García,Real Madrid,ESP,MF,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
