Player Name,Club Name,Country,Position,Age,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage
Granit Xhaka,Leverkusen,SUI,MF,30,7,0,0,41,65,0,17,25,36,0,1,0,281,33,27,55
Álex Grimaldo,Leverkusen,ESP,DF,27,3,0,0,19,31,3,300,36,37,1,0,0,204,16,26,38.1
Jonathan Tah,Leverkusen,GER,DF,27,10,0,0,43,6,1,5,36,17,0,1,0,206,82,35,70.1
Edmond Tapsoba,Leverkusen,BFA,DF,24,7,0,0,41,6,1,7,29,36,0,0,0,230,56,46,54.9
Florian Wirtz,Leverkusen,GER,"MF,FW",20,7,0,0,32,41,9,75,15,26,0,0,0,184,11,22,33.3
Jeremie Frimpong,Leverkusen,NED,"DF,MF",22,7,0,0,31,48,19,133,13,23,1,0,0,109,15,26,36.6
Lukáš Hrádecký,Leverkusen,FIN,GK,33,3,0,0,0,1,0,0,0,0,0,0,0,51,8,1,88.9
Robert Andrich,Leverkusen,GER,"MF,DF",28,8,0,0,51,26,0,19,33,29,0,0,0,162,25,28,47.2
Jonas Hofmann,Leverkusen,GER,"MF,FW",31,3,0,0,19,20,14,155,10,21,2,0,0,90,2,10,16.7
Exequiel Palacios,Leverkusen,ARG,MF,24,8,0,0,24,79,0,9,37,55,0,0,0,213,11,8,57.9
Piero Hincapié,Leverkusen,ECU,DF,21,2,0,0,29,25,0,27,34,41,0,0,0,120,52,39,57.1
Josip Stanišić,Leverkusen,CRO,DF,23,3,0,0,8,12,2,26,19,34,0,0,0,137,16,20,44.4
Odilon Kossonou,Leverkusen,CIV,DF,22,6,1,1,22,11,0,2,32,23,0,0,0,144,29,20,59.2
Amine Adli,Leverkusen,MAR,"MF,FW",23,6,0,0,30,55,16,65,10,24,0,0,0,73,42,36,53.8
Victor Boniface,Leverkusen,NGA,FW,22,3,0,0,22,25,25,3,2,7,0,0,0,37,35,24,59.3
Patrik Schick,Leverkusen,CZE,"FW,MF",27,2,0,0,21,17,8,1,1,6,1,0,0,24,35,33,51.5
Matej Kovar,Leverkusen,CZE,GK,23,1,0,0,0,2,0,0,0,0,0,0,0,30,1,0,100
Nathan Tella,Leverkusen,NGA,"DF,FW",24,2,0,0,18,30,7,46,7,11,2,0,0,69,8,14,36.4
Adam Hložek,Leverkusen,CZE,"FW,MF",21,3,0,0,19,14,2,2,4,7,0,1,0,35,14,21,40
Borja Iglesias,Leverkusen,ESP,FW,30,0,0,0,6,4,1,2,1,2,0,0,0,8,5,8,38.5
Gustavo Puerta,Leverkusen,COL,MF,20,0,0,0,6,3,0,4,2,5,0,0,0,19,2,3,40
Arthur,Leverkusen,BRA,DF,20,0,0,0,3,1,0,7,1,3,0,0,0,10,2,3,40
Nadiem Amiri,Leverkusen,GER,MF,26,0,0,0,1,5,1,8,1,2,0,0,0,8,0,0,
Noah Mbamba,Leverkusen,BEL,FW,18,0,0,0,4,4,0,1,4,0,0,0,0,4,0,0,
Niklas Lomb,Leverkusen,GER,GK,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Ken Izekor,Leverkusen,GER,DF,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Ayman Aourir,Leverkusen,GER,MF,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Federico Valverde,Real Madrid,URU,"MF,FW",25,2,0,0,34,19,1,43,60,51,0,0,0,215,33,26,55.9
Antonio Rüdiger,Real Madrid,GER,DF,30,8,0,0,35,15,3,8,15,21,0,0,1,165,65,31,67.7
Rodrygo,Real Madrid,BRA,FW,22,2,0,0,15,57,15,46,10,20,2,0,0,88,8,29,21.6
Jude Bellingham,Real Madrid,ENG,"MF,FW",20,9,1,0,46,102,7,36,30,50,0,0,0,151,35,36,49.3
Dani Carvajal,Real Madrid,ESP,DF,31,9,1,1,44,31,3,64,32,54,0,0,0,143,37,29,56.1
Toni Kroos,Real Madrid,GER,MF,33,5,0,0,23,50,4,174,31,49,0,0,0,205,9,5,64.3
Nacho,Real Madrid,ESP,DF,33,5,2,0,27,23,2,3,30,19,0,1,1,125,38,35,52.1
Vinicius Júnior,Real Madrid,BRA,FW,23,11,0,0,36,75,17,94,3,19,0,0,0,71,4,10,28.6
Andriy Lunin,Real Madrid,UKR,GK,24,2,0,0,0,5,0,0,0,0,0,0,0,25,11,0,100
Ferland Mendy,Real Madrid,FRA,DF,28,6,0,0,26,28,0,10,21,20,0,0,0,132,13,10,56.5
Eduardo Camavinga,Real Madrid,FRA,MF,20,13,0,0,75,96,1,7,40,62,0,1,0,193,30,22,57.7
Aurélien Tchouaméni,Real Madrid,FRA,"MF,DF",23,11,0,0,27,25,0,28,43,30,0,0,0,120,65,28,69.9
Luka Modrić,Real Madrid,CRO,MF,37,2,0,0,29,27,2,135,27,21,0,0,0,118,13,10,56.5
Joselu,Real Madrid,ESP,FW,33,1,0,0,14,19,20,8,7,3,0,0,0,41,58,40,59.2
Brahim Díaz,Real Madrid,MAR,"MF,FW",23,2,0,0,29,58,6,50,6,25,0,0,0,88,3,13,18.8
Lucas Vázquez,Real Madrid,ESP,DF,32,2,0,0,29,28,5,67,13,30,1,2,0,100,4,8,33.3
Kepa Arrizabalaga,Real Madrid,ESP,GK,28,2,0,0,0,3,0,0,0,1,0,0,0,23,4,0,100
Fran Garcia,Real Madrid,ESP,DF,23,2,0,0,10,16,10,76,21,20,0,0,0,114,8,16,33.3
David Alaba,Real Madrid,AUT,DF,31,3,0,0,5,0,0,24,18,10,0,0,1,70,12,10,54.5
Dani Ceballos,Real Madrid,ESP,MF,26,2,0,0,8,22,0,21,5,7,0,0,0,45,2,6,25
Éder Militão,Real Madrid,BRA,DF,25,0,0,0,6,5,2,1,4,4,0,0,0,19,13,13,50
Arda Güler,Real Madrid,TUR,MF,18,1,0,0,11,9,2,17,3,4,1,0,0,21,0,0,
Thibaut Courtois,Real Madrid,BEL,GK,31,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,100
Nicolás Paz,Real Madrid,ARG,MF,18,0,0,0,2,1,0,2,1,2,0,0,0,6,2,1,66.7
Álvaro Carrillo,Real Madrid,ESP,DF,21,0,0,0,0,1,0,1,2,2,,,0,,,,
Vinicius Tobias,Real Madrid,BRA,DF,19,0,0,0,1,3,0,2,0,1,,,0,,,,
Mario Martín,Real Madrid,ESP,MF,19,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,
Gonzalo García,Real Madrid,ESP,MF,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Álvaro Muñoz,Real Madrid,URU,FW,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Yann Sommer,Inter,SUI,GK,34,1,0,0,1,1,0,0,0,1,0,1,0,58,4,2,66.7
Henrikh Mkhitaryan,Inter,ARM,MF,34,6,0,0,42,42,4,36,39,40,1,0,0,224,19,18,51.4
Nicolò Barella,Inter,ITA,MF,26,10,0,0,38,36,6,71,17,49,1,0,0,199,30,18,62.5
Lautaro Martínez,Inter,ARG,FW,25,8,0,0,56,75,13,20,24,18,2,1,0,109,50,39,56.2
Marcus Thuram,Inter,FRA,FW,25,3,0,0,41,59,24,24,5,18,6,0,0,89,81,54,60
Hakan Çalhanoğlu,Inter,TUR,MF,29,9,0,0,54,30,0,186,31,41,0,0,0,204,29,20,59.2
Matteo Darmian,Inter,ITA,"DF,FW",33,3,0,0,32,19,1,35,19,29,1,2,0,85,25,19,56.8
Francesco Acerbi,Inter,ITA,DF,35,2,0,0,26,33,4,15,41,16,0,0,0,127,82,42,66.1
Alessandro Bastoni,Inter,ITA,DF,24,5,0,0,39,39,0,93,30,34,0,0,0,151,46,32,59
Federico Dimarco,Inter,ITA,DF,25,0,0,0,15,29,6,251,13,26,0,0,0,123,7,12,36.8
Benjamin Pavard,Inter,FRA,DF,27,7,0,0,28,19,2,31,42,27,0,0,0,87,48,31,60.8
Carlos Augusto,Inter,BRA,"DF,FW",24,2,0,0,26,7,3,64,17,28,0,0,0,100,70,35,66.7
Stefan de Vrij,Inter,NED,DF,31,1,0,0,12,6,0,0,30,18,0,0,0,118,56,34,62.2
Denzel Dumfries,Inter,NED,DF,27,3,1,0,32,18,5,57,12,15,0,0,0,69,40,23,63.5
Davide Frattesi,Inter,ITA,MF,23,3,0,0,21,32,2,17,8,15,2,0,0,61,18,22,45
Yann Aurel Bisseck,Inter,GER,DF,22,3,0,0,11,14,2,8,7,6,0,0,0,43,21,18,53.8
Alexis Sánchez,Inter,CHI,FW,34,0,0,0,16,30,11,47,4,10,0,0,0,35,12,23,34.3
Marko Arnautović,Inter,AUT,FW,34,0,0,0,13,21,11,11,6,4,0,0,0,21,8,12,40
Kristjan Asllani,Inter,ALB,MF,21,3,0,0,8,22,0,50,14,3,0,0,0,70,4,8,33.3
Emil Audero,Inter,ITA,GK,26,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100
Juan Cuadrado,Inter,COL,"DF,FW",35,2,0,0,6,12,1,22,2,3,0,0,0,13,0,0,
