Player Name,Club Name,Country,Position,Age,90s,"PassesCompleted	",InGamePasses,SetPiecesPasses,FreeKickPasses,ThroughBalls,Switches,Crosses,ThrowInsTaken,CornersTaken,InswingingCorners,OutswingingCorners,StraightCorners,PassesCompleted,PassesOffside,PassesBlocked
Granit Xhaka,Leverkusen,SUI,MF,30,46.1,4261,4157,97,61,17,22,17,22,2,1,0,0,3895,7,37
Álex Grimaldo,Leverkusen,ESP,DF,27,45.2,2764,2313,441,50,5,12,300,241,150,76,33,1,2270,10,60
Jonathan Tah,Leverkusen,GER,DF,27,44.3,2971,2913,54,43,1,8,5,2,0,0,0,0,2811,4,7
Edmond Tapsoba,Leverkusen,BFA,DF,24,38.7,2851,2740,105,57,7,14,7,23,0,0,0,0,2590,6,15
Florian Wirtz,Leverkusen,GER,"MF,FW",20,38.4,2381,2244,120,25,26,10,75,48,36,9,3,0,1965,17,60
Jeremie Frimpong,Leverkusen,NED,"DF,MF",22,37.1,1271,1138,128,4,4,4,133,124,0,0,0,0,987,5,47
Lukáš Hrádecký,Leverkusen,FIN,GK,33,35,886,695,186,41,0,2,0,0,0,0,0,0,706,5,1
Robert Andrich,Leverkusen,GER,"MF,DF",28,32.5,2114,2069,40,37,7,5,19,2,0,0,0,0,1907,5,12
Jonas Hofmann,Leverkusen,GER,"MF,FW",31,30.7,1750,1549,194,31,7,10,155,38,110,51,30,1,1406,7,47
Exequiel Palacios,Leverkusen,ARG,MF,24,29.5,2640,2566,67,38,8,10,9,13,4,0,0,0,2431,7,25
Piero Hincapié,Leverkusen,ECU,DF,21,29.1,2158,2052,103,30,2,7,27,63,0,0,0,0,1933,3,17
Josip Stanišić,Leverkusen,CRO,DF,23,26.2,1625,1514,105,23,1,8,26,82,0,0,0,0,1461,6,19
Odilon Kossonou,Leverkusen,CIV,DF,22,25.5,1638,1537,99,36,4,8,2,63,0,0,0,0,1458,2,19
Amine Adli,Leverkusen,MAR,"MF,FW",23,25.2,964,932,29,6,3,2,65,17,3,3,0,0,773,3,26
Victor Boniface,Leverkusen,NGA,FW,22,23.3,486,464,18,1,9,4,3,5,0,0,0,0,349,4,21
Patrik Schick,Leverkusen,CZE,"FW,MF",27,17.3,303,288,15,0,1,1,1,3,0,0,0,0,243,0,6
Matej Kovar,Leverkusen,CZE,GK,23,17,412,321,91,23,0,2,0,0,0,0,0,0,359,0,0
Nathan Tella,Leverkusen,NGA,"DF,FW",24,16.4,544,504,39,0,2,4,46,37,1,0,0,0,430,1,23
Adam Hložek,Leverkusen,CZE,"FW,MF",21,11.3,271,268,3,0,1,1,2,1,0,0,0,0,216,0,6
Borja Iglesias,Leverkusen,ESP,FW,30,4.7,111,108,1,0,0,0,2,0,0,0,0,0,87,2,4
Gustavo Puerta,Leverkusen,COL,MF,20,2.6,222,213,9,5,1,1,4,0,3,2,1,0,204,0,1
