Player Name,Club Name,Country,Position,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%
Granit Xhaka,Leverkusen,SUI,MF,30,61129,4261,17323,2141,2259,94.8,1392,74,0,498,337,78.9
Álex Grimaldo,Leverkusen,ESP,DF,27,32158,2764,8688,1405,1515,92.7,651,87,27,209,270,44.8
Jonathan Tah,Leverkusen,GER,DF,27,44863,2971,17934,1414,1457,97,1220,4,1,181,162,81.5
Edmond Tapsoba,Leverkusen,BFA,DF,24,42476,2851,17312,1256,1323,94.9,1105,12,0,219,249,66.7
Florian Wirtz,Leverkusen,GER,"MF,FW",20,26197,2381,7355,1252,1409,88.9,518,112,10,296,138,60.9
Jeremie Frimpong,Leverkusen,NED,"DF,MF",22,13572,1271,2781,660,761,86.7,260,49,21,60,63,60.3
Lukáš Hrádecký,Leverkusen,FIN,GK,33,16511,886,12037,186,187,99.5,360,0,0,1,320,48.8
Robert Andrich,Leverkusen,GER,"MF,DF",28,28815,2114,8819,1046,1104,94.7,708,25,4,141,142,66.9
Jonas Hofmann,Leverkusen,GER,"MF,FW",31,21514,1750,4849,804,910,88.4,417,47,7,139,203,59.6
Exequiel Palacios,Leverkusen,ARG,MF,24,34163,2640,10676,1500,1584,94.7,725,39,2,204,135,77
Piero Hincapié,Leverkusen,ECU,DF,21,28766,2158,9784,1096,1151,95.2,689,12,2,136,154,55.2
Josip Stanišić,Leverkusen,CRO,DF,23,22027,1625,5656,850,898,94.7,485,29,6,124,130,70.8
Odilon Kossonou,Leverkusen,CIV,DF,22,22604,1638,7170,788,849,92.8,559,18,0,158,120,70
Amine Adli,Leverkusen,MAR,"MF,FW",23,9639,964,2211,524,599,87.5,193,35,5,72,42,28.6
Victor Boniface,Leverkusen,NGA,FW,22,4902,486,1004,205,260,78.8,110,15,0,44,29,51.7
Patrik Schick,Leverkusen,CZE,"FW,MF",27,2947,303,407,169,202,83.7,54,7,0,23,7,85.7
Matej Kovar,Leverkusen,CZE,GK,23,7981,412,5424,116,117,99.1,168,0,0,0,123,60.2
Nathan Tella,Leverkusen,NGA,"DF,FW",24,6095,544,1484,264,297,88.9,132,28,8,43,34,47.1
Adam Hložek,Leverkusen,CZE,"FW,MF",21,3099,271,596,126,140,90,60,6,1,31,22,59.1
Borja Iglesias,Leverkusen,ESP,FW,30,1147,111,171,53,62,85.5,25,6,0,9,3,100
Gustavo Puerta,Leverkusen,COL,MF,20,2954,222,524,110,116,94.8,79,1,0,11,13,61.5
Arthur,Leverkusen,BRA,DF,20,1360,109,367,53,58,91.4,28,6,5,7,8,75
Nadiem Amiri,Leverkusen,GER,MF,26,1039,100,238,70,72,97.2,17,2,0,6,1,100
Noah Mbamba,Leverkusen,BEL,FW,18,471,38,172,18,18,100,12,1,1,5,2,50
Niklas Lomb,Leverkusen,GER,GK,30,442,25,274,9,9,100,11,0,0,0,5,40
Ken Izekor,Leverkusen,GER,DF,16,51,6,11,3,3,100,1,0,0,0,0,
Ayman Aourir,Leverkusen,GER,MF,18,7,1,0,1,1,100,0,0,0,0,0,
Federico Valverde,Real Madrid,URU,"MF,FW",25,37667,2739,10059,1427,1506,94.8,789,51,4,297,243,69.1
Antonio Rüdiger,Real Madrid,GER,DF,30,40913,2471,15230,862,903,95.5,1157,13,2,115,308,59.7
Rodrygo,Real Madrid,BRA,FW,22,14362,1379,2736,875,931,94,236,54,6,118,46,56.5
Jude Bellingham,Real Madrid,ENG,"MF,FW",20,27112,2130,5648,1180,1278,92.3,542,55,5,265,124,81.5
Dani Carvajal,Real Madrid,ESP,DF,31,26894,1975,6324,879,971,90.5,663,33,6,107,156,68.6
Toni Kroos,Real Madrid,GER,MF,33,58094,3436,21495,1478,1523,97,1152,31,6,368,599,76.3
Nacho,Real Madrid,ESP,DF,33,29703,1942,11613,870,900,96.7,829,4,1,75,136,66.2
Vinicius Júnior,Real Madrid,BRA,FW,23,10328,992,1933,460,540,85.2,164,30,3,82,100,55
Andriy Lunin,Real Madrid,UKR,GK,24,17765,924,11170,187,189,98.9,431,0,0,0,289,53.6
Ferland Mendy,Real Madrid,FRA,DF,28,22121,1735,6482,1013,1045,96.9,489,13,2,120,71,80.3
Eduardo Camavinga,Real Madrid,FRA,MF,20,26950,1836,6725,818,864,94.7,700,20,4,148,138,75.4
Aurélien Tchouaméni,Real Madrid,FRA,"MF,DF",23,29297,1937,9546,847,894,94.7,787,15,5,146,142,72.5
Luka Modrić,Real Madrid,CRO,MF,37,29451,2097,9154,990,1046,94.6,574,55,5,243,285,65.3
Joselu,Real Madrid,ESP,FW,33,3937,442,572,208,274,75.9,74,4,0,22,12,75
Brahim Díaz,Real Madrid,MAR,"MF,FW",23,9395,888,2209,509,553,92,159,44,9,93,50,56
Lucas Vázquez,Real Madrid,ESP,DF,32,17445,1412,4254,717,777,92.3,413,38,11,72,98,46.9
Kepa Arrizabalaga,Real Madrid,ESP,GK,28,11971,598,7857,120,121,99.2,294,0,0,0,180,55.6
Fran Garcia,Real Madrid,ESP,DF,23,14461,1181,4026,620,660,93.9,333,17,8,70,73,45.2
David Alaba,Real Madrid,AUT,DF,31,15984,1116,5921,547,565,96.8,374,8,2,57,105,56.2
Dani Ceballos,Real Madrid,ESP,MF,26,8926,685,2127,378,400,94.5,173,9,1,57,51,74.5
Éder Militão,Real Madrid,BRA,DF,25,5616,334,1964,112,116,96.6,158,0,0,15,41,68.3
Arda Güler,Real Madrid,TUR,MF,18,2640,218,611,115,121,95,50,6,0,17,21,47.6
Thibaut Courtois,Real Madrid,BEL,GK,31,3004,146,2066,30,30,100,76,0,0,0,39,64.1
Nicolás Paz,Real Madrid,ARG,MF,18,511,50,123,25,29,86.2,12,1,0,8,3,33.3
Álvaro Carrillo,Real Madrid,ESP,DF,21,,,,,,,,,,,,
Vinicius Tobias,Real Madrid,BRA,DF,19,,,,,,,,,,,,
Mario Martín,Real Madrid,ESP,MF,19,175,15,42,5,5,100,6,0,0,0,0,
Gonzalo García,Real Madrid,ESP,MF,19,35,7,7,4,6,66.7,0,0,0,0,0,
Álvaro Muñoz,Real Madrid,URU,FW,19,0,0,0,0,0,,0,0,0,0,0,
Yann Sommer,Inter,SUI,GK,34,30525,1556,19149,367,368,99.7,702,0,0,0,466,58.4
Henrikh Mkhitaryan,Inter,ARM,MF,34,25699,1936,6632,921,1014,90.8,563,51,1,218,164,72
Nicolò Barella,Inter,ITA,MF,26,34654,2511,11033,1118,1226,91.2,765,94,16,324,279,64.5
Lautaro Martínez,Inter,ARG,FW,25,9993,891,2383,375,447,83.9,220,24,2,98,66,68.2
Marcus Thuram,Inter,FRA,FW,25,6505,757,1287,360,461,78.1,118,22,4,59,27,66.7
Hakan Çalhanoğlu,Inter,TUR,MF,29,44228,2753,13257,1053,1116,94.4,1018,48,15,217,426,70
Matteo Darmian,Inter,ITA,"DF,FW",33,23975,1650,7881,605,669,90.4,651,17,9,84,179,59.2
Francesco Acerbi,Inter,ITA,DF,35,33966,2085,10527,702,763,92,990,6,3,109,208,73.6
Alessandro Bastoni,Inter,ITA,DF,24,38698,2336,12356,788,840,93.8,938,40,17,165,385,67.3
Federico Dimarco,Inter,ITA,DF,25,20667,1548,6504,572,631,90.6,457,65,35,112,240,54.2
Benjamin Pavard,Inter,FRA,DF,27,26406,1679,8455,640,675,94.8,706,14,3,109,197,66.5
Carlos Augusto,Inter,BRA,"DF,FW",24,18096,1373,5927,579,645,89.8,438,17,10,69,129,62
Stefan de Vrij,Inter,NED,DF,31,23534,1432,7525,486,513,94.7,754,5,0,57,92,72.8
Denzel Dumfries,Inter,NED,DF,27,11286,926,3175,326,398,81.9,308,33,15,55,80,53.8
Davide Frattesi,Inter,ITA,MF,23,5042,432,1512,182,221,82.4,120,18,3,56,25,72
Yann Aurel Bisseck,Inter,GER,DF,22,12659,800,3652,308,326,94.5,360,7,4,42,68,83.8
Alexis Sánchez,Inter,CHI,FW,34,5979,472,1691,173,208,83.2,106,28,4,67,76,65.8
Marko Arnautović,Inter,AUT,FW,34,3039,306,556,137,172,79.7,65,11,1,21,11,72.7
Kristjan Asllani,Inter,ALB,MF,21,14881,900,3692,343,356,96.3,362,5,1,46,141,66.7
Emil Audero,Inter,ITA,GK,26,4288,234,2712,50,51,98,117,0,0,0,59,55.9
Juan Cuadrado,Inter,COL,"DF,FW",35,3586,241,890,94,100,94,79,5,2,15,35,60
Davy Klaassen,Inter,NED,"MF,FW",30,1661,130,341,58,65,89.2,37,1,0,10,10,80
Tajon Buchanan,Inter,CAN,"DF,FW",24,787,72,103,36,39,92.3,16,1,1,4,6,50
Stefano Sensi,Inter,ITA,MF,27,962,52,198,17,17,100,20,0,0,3,9,100
Raffaele Di Gennaro,Inter,ITA,GK,29,324,17,175,5,5,100,8,0,0,0,3,66.7
Ebenezer Akinsanmiro,Inter,NGA,MF,18,83,8,45,6,6,100,1,1,0,2,0,
Lucien Agoume,Inter,FRA,MF,21,75,5,7,3,3,100,2,0,0,0,0,
Rodri,Manchester City,ESP,MF,27,72768,4588,19753,2027,2154,94.1,1679,76,1,495,500,84.8
