Player Name,Club Name,Touches,Position,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved
Granit Xhaka,Leverkusen,4601,MF,42,46.1,4601,123,650,2924,1051,20,35,17,48.6,14,40,2896,13104,6861,83,95,4,36,3817,65
Álex Grimaldo,Leverkusen,3162,DF,60,45.2,3162,75,562,1209,1413,135,68,30,44.1,33,48.5,1798,8472,4559,113,79,23,23,2168,334
Jonathan Tah,Leverkusen,3278,DF,17,44.3,3278,301,1110,1999,183,48,11,6,54.5,4,36.4,2169,11261,6239,18,32,1,8,2456,7
Edmond Tapsoba,Leverkusen,3118,DF,15,38.7,3118,244,1061,1819,264,34,22,17,77.3,4,18.2,2235,13400,7844,66,68,1,9,2355,16
Florian Wirtz,Leverkusen,2879,"MF,FW",99,38.4,2880,8,185,1153,1580,219,198,94,47.5,92,46.5,1844,10704,5601,186,143,59,97,2330,371
Jeremie Frimpong,Leverkusen,1675,"DF,MF",71,37.1,1675,24,191,485,1020,271,137,57,41.6,70,51.1,1050,7880,4662,186,81,91,47,1176,433
Lukáš Hrádecký,Leverkusen,939,GK,1,35,939,777,925,14,0,0,0,0,,0,,543,2958,1580,0,1,1,0,456,0
Robert Andrich,Leverkusen,2321,"MF,DF",14,32.5,2321,80,456,1508,371,22,15,9,60,5,33.3,1332,6188,2978,29,51,1,9,1785,17
Jonas Hofmann,Leverkusen,1969,"MF,FW",41,30.7,1969,6,151,776,1053,129,38,19,50,19,50,1062,5483,2688,74,58,16,19,1545,254
Exequiel Palacios,Leverkusen,2911,MF,28,29.5,2913,53,453,1862,625,34,36,27,75,9,25,1776,6649,3219,34,35,3,15,2364,73
Piero Hincapié,Leverkusen,2435,DF,25,29.1,2435,179,776,1322,346,44,16,8,50,8,50,1556,8368,4803,56,48,3,6,1838,70
Josip Stanišić,Leverkusen,1825,DF,24,26.2,1825,83,479,939,424,31,28,18,64.3,7,25,1149,6714,3839,72,69,9,8,1305,94
Odilon Kossonou,Leverkusen,1846,DF,17,25.5,1846,89,497,1097,270,12,41,23,56.1,18,43.9,1095,6113,3267,55,38,5,18,1323,30
Amine Adli,Leverkusen,1223,"MF,FW",44,25.2,1223,16,119,471,652,129,46,20,43.5,19,41.3,761,3907,2078,61,52,29,20,948,248
Victor Boniface,Leverkusen,803,FW,67,23.3,808,18,35,315,469,164,110,51,46.4,53,48.2,483,2780,1379,60,34,33,33,652,182
Patrik Schick,Leverkusen,466,"FW,MF",31,17.3,467,10,22,168,282,122,30,10,33.3,17,56.7,262,1080,405,13,6,8,19,372,106
