Player Name,Club Name,Country,Position,Age,90s,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,npxG
Granit Xhaka,Leverkusen,SUI,MF,30,46.1,4,62,18,29.0,1.35,0.39,0.06,0.22,25.7,0,0,0,2.3,2.3,0.04,+0.7,+0.7,Matches
Álex Grimaldo,Leverkusen,ESP,DF,27,45.2,12,99,30,30.3,2.19,0.66,0.12,0.40,21.7,20,0,0,7.2,7.2,0.08,+4.8,+4.8,Matches
Jonathan Tah,Leverkusen,GER,DF,27,44.3,6,35,12,34.3,0.79,0.27,0.17,0.50,12.9,0,0,0,2.4,2.4,0.08,+1.6,+1.6,Matches
Edmond Tapsoba,Leverkusen,BFA,DF,24,38.7,3,25,8,32.0,0.65,0.21,0.12,0.38,16.0,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches
Florian Wirtz,Leverkusen,GER,"MF,FW",20,38.4,18,102,49,48.0,2.66,1.28,0.16,0.33,18.4,1,2,2,11.6,10.9,0.12,+3.4,+3.1,Matches
Jeremie Frimpong,Leverkusen,NED,"DF,MF",22,37.1,14,87,33,37.9,2.34,0.89,0.16,0.42,13.7,0,0,0,11.9,11.9,0.16,+0.1,+0.1,Matches
Lukáš Hrádecký,Leverkusen,FIN,GK,33,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robert Andrich,Leverkusen,GER,"MF,DF",28,32.5,6,45,14,31.1,1.38,0.43,0.13,0.43,21.0,2,0,0,2.1,2.1,0.06,+2.9,+2.9,Matches
Jonas Hofmann,Leverkusen,GER,"MF,FW",31,30.7,8,71,31,43.7,2.32,1.01,0.11,0.26,18.4,0,0,0,7.0,7.0,0.10,0.0,0.0,Matches
Exequiel Palacios,Leverkusen,ARG,MF,24,29.5,6,34,9,26.5,1.15,0.31,0.09,0.33,22.7,0,3,3,4.2,2.6,0.09,-0.2,-0.6,Matches
Piero Hincapié,Leverkusen,ECU,DF,21,29.1,1,28,7,25.0,0.96,0.24,0.04,0.14,12.9,0,0,0,2.9,2.9,0.12,-1.9,-1.9,Matches
Josip Stanišić,Leverkusen,CRO,DF,23,26.2,4,15,7,46.7,0.57,0.27,0.27,0.57,16.6,0,0,0,0.9,0.9,0.07,+3.1,+3.1,Matches
Odilon Kossonou,Leverkusen,CIV,DF,22,25.5,1,5,1,20.0,0.20,0.04,0.20,1.00,15.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
Amine Adli,Leverkusen,MAR,"MF,FW",23,25.2,10,74,34,45.9,2.94,1.35,0.12,0.26,14.3,0,1,1,6.7,6.7,0.12,-1.7,-1.7,Matches
Victor Boniface,Leverkusen,NGA,FW,22,23.3,21,105,42,40.0,4.50,1.80,0.15,0.38,16.4,0,5,5,20.0,16.1,0.16,-1.0,-2.1,Matches
Patrik Schick,Leverkusen,CZE,"FW,MF",27,17.3,13,67,23,34.3,3.88,1.33,0.18,0.52,13.0,0,1,1,8.8,8.0,0.14,+3.2,+3.0,Matches
Matej Kovar,Leverkusen,CZE,GK,23,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathan Tella,Leverkusen,NGA,"DF,FW",24,16.4,6,37,17,45.9,2.25,1.03,0.16,0.35,16.9,0,0,0,4.0,4.0,0.12,+2.0,+2.0,Matches
Adam Hložek,Leverkusen,CZE,"FW,MF",21,11.3,7,47,18,38.3,4.16,1.59,0.15,0.39,17.0,3,0,0,4.9,4.9,0.13,-0.9,-0.9,Matches
Borja Iglesias,Leverkusen,ESP,FW,30,4.7,0,15,4,26.7,3.21,0.86,0.00,0.00,14.7,0,0,0,2.1,2.1,0.16,-2.1,-2.1,Matches
Gustavo Puerta,Leverkusen,COL,MF,20,2.6,0,4,1,25.0,1.54,0.38,0.00,0.00,28.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Arthur,Leverkusen,BRA,DF,20,2.3,0,2,1,50.0,0.87,0.44,0.00,0.00,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Nadiem Amiri,Leverkusen,GER,MF,26,1.7,0,7,3,42.9,4.23,1.81,0.00,0.00,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Noah Mbamba,Leverkusen,BEL,FW,18,1.2,0,4,2,50.0,3.33,1.67,0.00,0.00,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Niklas Lomb,Leverkusen,GER,GK,30,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ken Izekor,Leverkusen,GER,DF,16,0.2,0,1,0,0.0,6.43,0.00,0.00,,23.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Ayman Aourir,Leverkusen,GER,MF,18,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Federico Valverde,Real Madrid,URU,"MF,FW",25,47.5,3,85,23,27.1,1.79,0.48,0.04,0.13,23.3,1,0,0,4.7,4.7,0.06,-1.7,-1.7,Matches
Antonio Rüdiger,Real Madrid,GER,DF,30,45.3,2,30,6,20.0,0.66,0.13,0.07,0.33,15.1,0,0,0,2.2,2.2,0.09,-1.2,-1.2,Matches
Rodrygo,Real Madrid,BRA,FW,22,40.9,17,134,61,45.5,3.27,1.49,0.13,0.28,15.4,6,0,1,17.4,16.6,0.14,-2.4,-1.6,Matches
Jude Bellingham,Real Madrid,ENG,"MF,FW",20,40.3,23,95,46,48.4,2.36,1.14,0.23,0.48,15.0,0,1,1,14.1,13.3,0.16,+8.9,+8.7,Matches
Dani Carvajal,Real Madrid,ESP,DF,31,37.2,6,28,13,46.4,0.75,0.35,0.21,0.46,14.4,0,0,0,2.3,2.3,0.09,+2.7,+2.7,Matches
Toni Kroos,Real Madrid,GER,MF,33,35.2,1,42,18,42.9,1.19,0.51,0.02,0.06,25.2,12,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
Nacho,Real Madrid,ESP,DF,33,34.8,0,11,3,27.3,0.32,0.09,0.00,0.00,14.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Vinicius Júnior,Real Madrid,BRA,FW,23,34.1,24,121,56,46.3,3.55,1.64,0.17,0.38,14.9,0,3,3,17.6,16.0,0.15,+3.4,+3.0,Matches
Andriy Lunin,Real Madrid,UKR,GK,24,31.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ferland Mendy,Real Madrid,FRA,DF,28,31.4,1,6,2,33.3,0.19,0.06,0.17,0.50,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Eduardo Camavinga,Real Madrid,FRA,MF,20,31.3,0,28,11,39.3,0.89,0.35,0.00,0.00,24.5,0,0,0,1.2,1.2,0.04,-1.2,-1.2,Matches
Aurélien Tchouaméni,Real Madrid,FRA,"MF,DF",23,31.2,3,35,7,20.0,1.12,0.22,0.09,0.43,21.6,0,0,0,1.4,1.4,0.04,+1.6,+1.6,Matches
Luka Modrić,Real Madrid,CRO,MF,37,25.0,2,31,11,35.5,1.24,0.44,0.06,0.18,22.7,1,0,1,2.4,1.6,0.05,-0.4,+0.4,Matches
Joselu,Real Madrid,ESP,FW,33,23.6,18,98,40,40.8,4.16,1.70,0.17,0.43,11.9,0,1,3,17.0,15.4,0.17,-2.0,-0.4,Matches
Brahim Díaz,Real Madrid,MAR,"MF,FW",23,23.0,12,55,23,41.8,2.39,1.00,0.22,0.52,15.8,0,0,0,7.2,7.2,0.15,+2.8,+2.8,Matches
Lucas Vázquez,Real Madrid,ESP,DF,32,19.9,3,15,8,53.3,0.75,0.40,0.20,0.38,14.8,0,0,0,1.3,1.2,0.08,+1.7,+1.8,Matches
Kepa Arrizabalaga,Real Madrid,ESP,GK,28,19.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fran Garcia,Real Madrid,ESP,DF,23,18.8,1,9,1,11.1,0.48,0.05,0.11,1.00,20.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
David Alaba,Real Madrid,AUT,DF,31,15.6,0,18,3,16.7,1.15,0.19,0.00,0.00,18.8,7,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
Dani Ceballos,Real Madrid,ESP,MF,26,9.7,1,10,2,20.0,1.03,0.21,0.10,0.50,17.1,1,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Éder Militão,Real Madrid,BRA,DF,25,5.7,0,2,2,100.0,0.35,0.35,0.00,0.00,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
