Player Name,Club Name,Country,Position,Age,90s,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage,Recov
Granit Xhaka,Leverkusen,SUI,MF,30,46.1,7,0,0,41,65,0,17,25,36,0,1,0,281,33,27,55.0,Matches
Álex Grimaldo,Leverkusen,ESP,DF,27,45.2,3,0,0,19,31,3,300,36,37,1,0,0,204,16,26,38.1,Matches
Jonathan Tah,Leverkusen,GER,DF,27,44.3,10,0,0,43,6,1,5,36,17,0,1,0,206,82,35,70.1,Matches
Edmond Tapsoba,Leverkusen,BFA,DF,24,38.7,7,0,0,41,6,1,7,29,36,0,0,0,230,56,46,54.9,Matches
Florian Wirtz,Leverkusen,GER,"MF,FW",20,38.4,7,0,0,32,41,9,75,15,26,0,0,0,184,11,22,33.3,Matches
Jeremie Frimpong,Leverkusen,NED,"DF,MF",22,37.1,7,0,0,31,48,19,133,13,23,1,0,0,109,15,26,36.6,Matches
Lukáš Hrádecký,Leverkusen,FIN,GK,33,35.0,3,0,0,0,1,0,0,0,0,0,0,0,51,8,1,88.9,Matches
Robert Andrich,Leverkusen,GER,"MF,DF",28,32.5,8,0,0,51,26,0,19,33,29,0,0,0,162,25,28,47.2,Matches
Jonas Hofmann,Leverkusen,GER,"MF,FW",31,30.7,3,0,0,19,20,14,155,10,21,2,0,0,90,2,10,16.7,Matches
Exequiel Palacios,Leverkusen,ARG,MF,24,29.5,8,0,0,24,79,0,9,37,55,0,0,0,213,11,8,57.9,Matches
Piero Hincapié,Leverkusen,ECU,DF,21,29.1,2,0,0,29,25,0,27,34,41,0,0,0,120,52,39,57.1,Matches
Josip Stanišić,Leverkusen,CRO,DF,23,26.2,3,0,0,8,12,2,26,19,34,0,0,0,137,16,20,44.4,Matches
Odilon Kossonou,Leverkusen,CIV,DF,22,25.5,6,1,1,22,11,0,2,32,23,0,0,0,144,29,20,59.2,Matches
Amine Adli,Leverkusen,MAR,"MF,FW",23,25.2,6,0,0,30,55,16,65,10,24,0,0,0,73,42,36,53.8,Matches
Victor Boniface,Leverkusen,NGA,FW,22,23.3,3,0,0,22,25,25,3,2,7,0,0,0,37,35,24,59.3,Matches
Patrik Schick,Leverkusen,CZE,"FW,MF",27,17.3,2,0,0,21,17,8,1,1,6,1,0,0,24,35,33,51.5,Matches
Matej Kovar,Leverkusen,CZE,GK,23,17.0,1,0,0,0,2,0,0,0,0,0,0,0,30,1,0,100.0,Matches
Nathan Tella,Leverkusen,NGA,"DF,FW",24,16.4,2,0,0,18,30,7,46,7,11,2,0,0,69,8,14,36.4,Matches
Adam Hložek,Leverkusen,CZE,"FW,MF",21,11.3,3,0,0,19,14,2,2,4,7,0,1,0,35,14,21,40.0,Matches
Borja Iglesias,Leverkusen,ESP,FW,30,4.7,0,0,0,6,4,1,2,1,2,0,0,0,8,5,8,38.5,Matches
Gustavo Puerta,Leverkusen,COL,MF,20,2.6,0,0,0,6,3,0,4,2,5,0,0,0,19,2,3,40.0,Matches
Arthur,Leverkusen,BRA,DF,20,2.3,0,0,0,3,1,0,7,1,3,0,0,0,10,2,3,40.0,Matches
Nadiem Amiri,Leverkusen,GER,MF,26,1.7,0,0,0,1,5,1,8,1,2,0,0,0,8,0,0,,Matches
Noah Mbamba,Leverkusen,BEL,FW,18,1.2,0,0,0,4,4,0,1,4,0,0,0,0,4,0,0,,Matches
Niklas Lomb,Leverkusen,GER,GK,30,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Ken Izekor,Leverkusen,GER,DF,16,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Ayman Aourir,Leverkusen,GER,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Federico Valverde,Real Madrid,URU,"MF,FW",25,47.5,2,0,0,34,19,1,43,60,51,0,0,0,215,33,26,55.9,Matches
Antonio Rüdiger,Real Madrid,GER,DF,30,45.3,8,0,0,35,15,3,8,15,21,0,0,1,165,65,31,67.7,Matches
Rodrygo,Real Madrid,BRA,FW,22,40.9,2,0,0,15,57,15,46,10,20,2,0,0,88,8,29,21.6,Matches
Jude Bellingham,Real Madrid,ENG,"MF,FW",20,40.3,9,1,0,46,102,7,36,30,50,0,0,0,151,35,36,49.3,Matches
Dani Carvajal,Real Madrid,ESP,DF,31,37.2,9,1,1,44,31,3,64,32,54,0,0,0,143,37,29,56.1,Matches
Toni Kroos,Real Madrid,GER,MF,33,35.2,5,0,0,23,50,4,174,31,49,0,0,0,205,9,5,64.3,Matches
Nacho,Real Madrid,ESP,DF,33,34.8,5,2,0,27,23,2,3,30,19,0,1,1,125,38,35,52.1,Matches
Vinicius Júnior,Real Madrid,BRA,FW,23,34.1,11,0,0,36,75,17,94,3,19,0,0,0,71,4,10,28.6,Matches
Andriy Lunin,Real Madrid,UKR,GK,24,31.7,2,0,0,0,5,0,0,0,0,0,0,0,25,11,0,100.0,Matches
Ferland Mendy,Real Madrid,FRA,DF,28,31.4,6,0,0,26,28,0,10,21,20,0,0,0,132,13,10,56.5,Matches
