Player Name,Club Name,Minutes%,Position,GoalsAllowedByTeamInHisPresence,GoalsScoredByTeamInHisPresence-GoalsScoredByTeamInHisAbsence,MinutesPlayed,MinutesPlayed/Match,Player,GamesStarted,MinutesStarted/Match,MatchesCompleted,SubstitueAppearances,Minutes/Substitution,GameAsUnusedSub,TeamPointsPerMatch,GoalsScoredByTeamInHisPresence,GoalsScored-GoalsAllowed,GoalsScored-GoalsAllowed/90,xGOfTeamScoring,xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding/90,xGOfTeamScoringWithHim-xGOfTeamScoringWithoutHim/90,+/-,+/-90
Granit Xhaka,Leverkusen,87.0,MF,34,-0.45,"4,148",83,46.1,47,87,35,3,27,2,2.62,120,+86,+1.87,88.0,37.4,+50.6,+1.23,+0.25,Matches,
Álex Grimaldo,Leverkusen,85.3,DF,37,-0.61,"4,071",80,45.2,45,87,33,6,23,1,2.59,120,+83,+1.83,84.2,36.5,+47.7,+1.18,-0.07,Matches,
Jonathan Tah,Leverkusen,83.5,DF,35,-0.43,"3,983",83,44.3,45,87,40,3,21,4,2.61,117,+82,+1.85,83.1,37.4,+45.7,+1.15,-0.30,Matches,
Edmond Tapsoba,Leverkusen,73.1,DF,33,-0.15,"3,486",76,38.7,39,86,30,7,21,2,2.59,106,+73,+1.88,72.3,35.3,+37.0,+1.09,-0.39,Matches,
Florian Wirtz,Leverkusen,72.5,"MF,FW",29,+0.48,"3,456",71,38.4,39,82,11,10,25,1,2.57,108,+79,+2.06,73.9,29.1,+44.8,+1.31,+0.42,Matches,
Jeremie Frimpong,Leverkusen,70.1,"DF,MF",32,-1.03,"3,343",71,37.1,38,81,9,9,28,5,2.55,92,+60,+1.62,66.2,30.6,+35.6,+1.11,-0.27,Matches,
Lukáš Hrádecký,Leverkusen,66.0,GK,24,+0.11,"3,150",90,35.0,35,90,35,0,,17,2.72,98,+74,+2.11,70.7,29.6,+41.1,+1.25,-1.39,Matches,
Robert Andrich,Leverkusen,61.4,"MF,DF",22,+0.43,"2,929",65,32.5,31,88,29,14,14,8,2.66,90,+68,+2.09,57.8,23.6,+34.3,+1.26,+0.15,Matches,
Jonas Hofmann,Leverkusen,57.9,"MF,FW",26,+0.08,"2,760",60,30.7,32,77,8,14,21,6,2.70,86,+60,+1.96,60.6,27.4,+33.2,+1.20,+0.02,Matches,
Exequiel Palacios,Leverkusen,55.6,MF,31,-0.59,"2,652",74,29.5,30,83,16,6,27,7,2.53,80,+49,+1.66,53.2,28.3,+24.9,+0.93,-0.63,Matches,
Piero Hincapié,Leverkusen,54.9,DF,23,-1.07,"2,621",61,29.1,29,83,20,14,16,6,2.61,65,+42,+1.44,53.7,23.0,+30.7,+1.15,-0.10,Matches,
Josip Stanišić,Leverkusen,49.5,DF,17,+0.04,"2,361",62,26.2,25,87,22,13,14,12,2.61,68,+51,+1.94,48.5,18.5,+30.0,+1.32,+0.24,Matches,
Odilon Kossonou,Leverkusen,48.0,DF,22,+0.61,"2,291",67,25.5,27,82,20,7,11,13,2.59,79,+57,+2.24,49.4,24.8,+24.5,+1.05,-0.29,Matches,
Amine Adli,Leverkusen,47.5,"MF,FW",22,+0.27,"2,267",54,25.2,23,79,10,19,24,4,2.59,74,+52,+2.06,46.3,21.2,+25.1,+1.20,+0.01,Matches,
Victor Boniface,Leverkusen,44.0,FW,16,+1.00,"2,099",62,23.3,24,77,5,10,24,5,2.56,74,+58,+2.49,47.6,20.4,+27.2,+1.27,+0.14,Matches,
Patrik Schick,Leverkusen,32.6,"FW,MF",12,-0.11,"1,556",47,17.3,18,70,3,15,19,5,2.42,44,+32,+1.85,34.3,12.1,+22.2,+1.46,+0.39,Matches,
Matej Kovar,Leverkusen,32.1,GK,17,-0.75,"1,530",90,17.0,17,90,17,0,,34,2.35,41,+24,+1.41,27.8,13.9,+13.9,+1.07,-0.17,Matches,
Nathan Tella,Leverkusen,31.0,"DF,FW",9,+0.21,"1,479",38,16.4,17,69,3,22,14,11,2.67,43,+34,+2.07,31.2,13.4,+17.8,+1.15,-0.06,Matches,
Adam Hložek,Leverkusen,21.3,"FW,MF",11,-0.31,"1,017",28,11.3,11,75,3,25,8,11,2.70,30,+19,+1.68,20.9,11.1,+9.8,+0.97,-0.29,Matches,
Borja Iglesias,Leverkusen,8.8,FW,4,+0.24,420,42,4.7,4,73,1,6,21,10,2.80,14,+10,+2.14,12.9,3.5,+9.4,+2.15,+1.05,Matches,
Gustavo Puerta,Leverkusen,4.9,MF,1,+2.20,234,23,2.6,2,89,1,8,7,32,3.00,11,+10,+3.85,6.7,1.8,+4.9,+1.90,+0.74,Matches,
