Player Name,Club Name,SCA,SCA Types,GCA,GCA Types,,Player,Nation,Pos,Age,90s,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90
Granit Xhaka,Leverkusen,3,MF,0,46.1,171,4.15,156,2,2,8,0,Matches,0.44,18,0,0,0,0
Álex Grimaldo,Leverkusen,3,DF,2,45.2,172,4.28,115,40,7,6,1,Matches,0.60,16,3,1,2,0
Jonathan Tah,Leverkusen,0,DF,0,44.3,32,0.80,25,0,0,6,1,Matches,0.13,4,0,0,1,0
Edmond Tapsoba,Leverkusen,1,DF,0,38.7,52,1.53,49,1,0,1,0,Matches,0.21,7,0,0,0,0
Florian Wirtz,Leverkusen,9,"MF,FW",0,38.4,225,6.59,182,11,16,5,2,Matches,0.85,22,3,4,0,0
Jeremie Frimpong,Leverkusen,5,"DF,MF",1,37.1,109,3.40,80,0,18,5,1,Matches,0.34,7,0,2,0,1
Lukáš Hrádecký,Leverkusen,0,GK,0,35.0,2,0.06,2,0,0,0,0,Matches,0.03,1,0,0,0,0
Robert Andrich,Leverkusen,2,"MF,DF",0,32.5,64,2.35,56,0,0,5,1,Matches,0.33,9,0,0,0,0
Jonas Hofmann,Leverkusen,5,"MF,FW",2,30.7,183,6.62,127,40,4,6,1,Matches,0.80,12,7,0,1,0
Exequiel Palacios,Leverkusen,3,MF,0,29.5,81,3.02,73,1,2,1,1,Matches,0.34,9,0,0,0,0
Piero Hincapié,Leverkusen,1,DF,0,29.1,35,1.31,30,0,0,4,0,Matches,0.19,4,0,0,1,0
Josip Stanišić,Leverkusen,1,DF,0,26.2,46,2.02,40,0,1,3,1,Matches,0.40,8,0,1,0,0
Odilon Kossonou,Leverkusen,0,DF,0,25.5,38,1.63,36,0,2,0,0,Matches,0.17,4,0,0,0,0
Amine Adli,Leverkusen,5,"MF,FW",1,25.2,96,4.61,74,2,6,9,0,Matches,0.58,8,0,2,1,0
Victor Boniface,Leverkusen,5,FW,1,23.3,73,3.41,37,0,23,7,1,Matches,0.98,12,0,5,3,0
Patrik Schick,Leverkusen,3,"FW,MF",1,17.3,44,2.90,28,0,3,9,1,Matches,0.26,0,0,0,3,0
Matej Kovar,Leverkusen,0,GK,0,17.0,2,0.15,1,1,0,0,0,Matches,0.00,0,0,0,0,0
Nathan Tella,Leverkusen,7,"DF,FW",2,16.4,62,4.02,44,1,4,3,3,Matches,0.52,6,0,0,0,0
Adam Hložek,Leverkusen,1,"FW,MF",0,11.3,31,3.09,24,0,3,3,0,Matches,0.50,5,0,0,0,0
Borja Iglesias,Leverkusen,0,FW,0,4.7,13,2.98,12,0,0,1,0,Matches,0.00,0,0,0,0,0
Gustavo Puerta,Leverkusen,0,MF,0,2.6,7,2.69,7,0,0,0,0,Matches,0.38,1,0,0,0,0
Arthur,Leverkusen,0,DF,0,2.3,7,3.41,5,1,0,0,1,Matches,0.97,2,0,0,0,0
Nadiem Amiri,Leverkusen,0,MF,0,1.7,1,1.02,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Noah Mbamba,Leverkusen,1,FW,0,1.2,5,4.84,2,0,1,0,1,Matches,1.94,2,0,0,0,0
Niklas Lomb,Leverkusen,0,GK,0,1.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ken Izekor,Leverkusen,0,DF,0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ayman Aourir,Leverkusen,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Federico Valverde,Real Madrid,1,"MF,FW",0,47.5,155,3.54,142,0,4,5,3,Matches,0.39,13,0,0,4,0
Antonio Rüdiger,Real Madrid,0,DF,0,45.3,30,0.73,24,0,0,6,0,Matches,0.17,6,0,0,1,0
Rodrygo,Real Madrid,7,FW,1,40.9,154,4.09,101,6,29,9,2,Matches,0.53,11,0,5,2,1
Jude Bellingham,Real Madrid,9,"MF,FW",0,40.3,147,4.04,116,0,13,8,1,Matches,0.55,15,0,2,2,1
Dani Carvajal,Real Madrid,2,DF,1,37.2,64,1.91,58,1,1,1,1,Matches,0.24,7,0,0,0,0
Toni Kroos,Real Madrid,1,MF,0,35.2,154,4.65,96,50,0,5,2,Matches,0.48,10,6,0,0,0
