Player Name,Club Name,Performance,Aerial Duels,,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov
Granit Xhaka,Leverkusen,ch SUI,MF,30,46.1,7,0,0,41,65,0,17,25,36,0,1,0,281,33,27,55.0,Matches
Álex Grimaldo,Leverkusen,es ESP,DF,27,45.2,3,0,0,19,31,3,300,36,37,1,0,0,204,16,26,38.1,Matches
Jonathan Tah,Leverkusen,de GER,DF,27,44.3,10,0,0,43,6,1,5,36,17,0,1,0,206,82,35,70.1,Matches
Edmond Tapsoba,Leverkusen,bf BFA,DF,24,38.7,7,0,0,41,6,1,7,29,36,0,0,0,230,56,46,54.9,Matches
Florian Wirtz,Leverkusen,de GER,"MF,FW",20,38.4,7,0,0,32,41,9,75,15,26,0,0,0,184,11,22,33.3,Matches
Jeremie Frimpong,Leverkusen,nl NED,"DF,MF",22,37.1,7,0,0,31,48,19,133,13,23,1,0,0,109,15,26,36.6,Matches
Lukáš Hrádecký,Leverkusen,fi FIN,GK,33,35.0,3,0,0,0,1,0,0,0,0,0,0,0,51,8,1,88.9,Matches
Robert Andrich,Leverkusen,de GER,"MF,DF",28,32.5,8,0,0,51,26,0,19,33,29,0,0,0,162,25,28,47.2,Matches
Jonas Hofmann,Leverkusen,de GER,"MF,FW",31,30.7,3,0,0,19,20,14,155,10,21,2,0,0,90,2,10,16.7,Matches
Exequiel Palacios,Leverkusen,ar ARG,MF,24,29.5,8,0,0,24,79,0,9,37,55,0,0,0,213,11,8,57.9,Matches
Piero Hincapié,Leverkusen,ec ECU,DF,21,29.1,2,0,0,29,25,0,27,34,41,0,0,0,120,52,39,57.1,Matches
Josip Stanišić,Leverkusen,hr CRO,DF,23,26.2,3,0,0,8,12,2,26,19,34,0,0,0,137,16,20,44.4,Matches
Odilon Kossonou,Leverkusen,ci CIV,DF,22,25.5,6,1,1,22,11,0,2,32,23,0,0,0,144,29,20,59.2,Matches
Amine Adli,Leverkusen,ma MAR,"MF,FW",23,25.2,6,0,0,30,55,16,65,10,24,0,0,0,73,42,36,53.8,Matches
