Player Name,Club Name,Total,Short,Medium,Long,,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
Granit Xhaka,Leverkusen,ch SUI,MF,30,46.1,61129,4261,17323,2141,2259,94.8,1392,74,0,498,337,78.9,Matches
Álex Grimaldo,Leverkusen,es ESP,DF,27,45.2,32158,2764,8688,1405,1515,92.7,651,87,27,209,270,44.8,Matches
Jonathan Tah,Leverkusen,de GER,DF,27,44.3,44863,2971,17934,1414,1457,97.0,1220,4,1,181,162,81.5,Matches
Edmond Tapsoba,Leverkusen,bf BFA,DF,24,38.7,42476,2851,17312,1256,1323,94.9,1105,12,0,219,249,66.7,Matches
Florian Wirtz,Leverkusen,de GER,"MF,FW",20,38.4,26197,2381,7355,1252,1409,88.9,518,112,10,296,138,60.9,Matches
Jeremie Frimpong,Leverkusen,nl NED,"DF,MF",22,37.1,13572,1271,2781,660,761,86.7,260,49,21,60,63,60.3,Matches
Lukáš Hrádecký,Leverkusen,fi FIN,GK,33,35.0,16511,886,12037,186,187,99.5,360,0,0,1,320,48.8,Matches
Robert Andrich,Leverkusen,de GER,"MF,DF",28,32.5,28815,2114,8819,1046,1104,94.7,708,25,4,141,142,66.9,Matches
Jonas Hofmann,Leverkusen,de GER,"MF,FW",31,30.7,21514,1750,4849,804,910,88.4,417,47,7,139,203,59.6,Matches
Exequiel Palacios,Leverkusen,ar ARG,MF,24,29.5,34163,2640,10676,1500,1584,94.7,725,39,2,204,135,77.0,Matches
Piero Hincapié,Leverkusen,ec ECU,DF,21,29.1,28766,2158,9784,1096,1151,95.2,689,12,2,136,154,55.2,Matches
Josip Stanišić,Leverkusen,hr CRO,DF,23,26.2,22027,1625,5656,850,898,94.7,485,29,6,124,130,70.8,Matches
Odilon Kossonou,Leverkusen,ci CIV,DF,22,25.5,22604,1638,7170,788,849,92.8,559,18,0,158,120,70.0,Matches
Amine Adli,Leverkusen,ma MAR,"MF,FW",23,25.2,9639,964,2211,524,599,87.5,193,35,5,72,42,28.6,Matches
