Player Name,Club Name,Pass Types,Corner Kicks,Outcomes,,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out
Granit Xhaka,Leverkusen,ch SUI,MF,30,46.1,4261,4157,97,61,17,22,17,22,2,1,0,0,3895,7,37,Matches
Álex Grimaldo,Leverkusen,es ESP,DF,27,45.2,2764,2313,441,50,5,12,300,241,150,76,33,1,2270,10,60,Matches
Jonathan Tah,Leverkusen,de GER,DF,27,44.3,2971,2913,54,43,1,8,5,2,0,0,0,0,2811,4,7,Matches
Edmond Tapsoba,Leverkusen,bf BFA,DF,24,38.7,2851,2740,105,57,7,14,7,23,0,0,0,0,2590,6,15,Matches
Florian Wirtz,Leverkusen,de GER,"MF,FW",20,38.4,2381,2244,120,25,26,10,75,48,36,9,3,0,1965,17,60,Matches
Jeremie Frimpong,Leverkusen,nl NED,"DF,MF",22,37.1,1271,1138,128,4,4,4,133,124,0,0,0,0,987,5,47,Matches
Lukáš Hrádecký,Leverkusen,fi FIN,GK,33,35.0,886,695,186,41,0,2,0,0,0,0,0,0,706,5,1,Matches
Robert Andrich,Leverkusen,de GER,"MF,DF",28,32.5,2114,2069,40,37,7,5,19,2,0,0,0,0,1907,5,12,Matches
Jonas Hofmann,Leverkusen,de GER,"MF,FW",31,30.7,1750,1549,194,31,7,10,155,38,110,51,30,1,1406,7,47,Matches
Exequiel Palacios,Leverkusen,ar ARG,MF,24,29.5,2640,2566,67,38,8,10,9,13,4,0,0,0,2431,7,25,Matches
Piero Hincapié,Leverkusen,ec ECU,DF,21,29.1,2158,2052,103,30,2,7,27,63,0,0,0,0,1933,3,17,Matches
Josip Stanišić,Leverkusen,hr CRO,DF,23,26.2,1625,1514,105,23,1,8,26,82,0,0,0,0,1461,6,19,Matches
Odilon Kossonou,Leverkusen,ci CIV,DF,22,25.5,1638,1537,99,36,4,8,2,63,0,0,0,0,1458,2,19,Matches
Amine Adli,Leverkusen,ma MAR,"MF,FW",23,25.2,964,932,29,6,3,2,65,17,3,3,0,0,773,3,26,Matches
Victor Boniface,Leverkusen,ng NGA,FW,22,23.3,486,464,18,1,9,4,3,5,0,0,0,0,349,4,21,Matches
Patrik Schick,Leverkusen,cz CZE,"FW,MF",27,17.3,303,288,15,0,1,1,1,3,0,0,0,0,243,0,6,Matches
Matej Kovar,Leverkusen,cz CZE,GK,23,17.0,412,321,91,23,0,2,0,0,0,0,0,0,359,0,0,Matches
Nathan Tella,Leverkusen,ng NGA,"DF,FW",24,16.4,544,504,39,0,2,4,46,37,1,0,0,0,430,1,23,Matches
Adam Hložek,Leverkusen,cz CZE,"FW,MF",21,11.3,271,268,3,0,1,1,2,1,0,0,0,0,216,0,6,Matches
Borja Iglesias,Leverkusen,es ESP,FW,30,4.7,111,108,1,0,0,0,2,0,0,0,0,0,87,2,4,Matches
Gustavo Puerta,Leverkusen,co COL,MF,20,2.6,222,213,9,5,1,1,4,0,3,2,1,0,204,0,1,Matches
Arthur,Leverkusen,br BRA,DF,20,2.3,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3,Matches
Nadiem Amiri,Leverkusen,de GER,MF,26,1.7,100,98,2,1,0,0,8,0,1,0,0,0,92,0,2,Matches
Noah Mbamba,Leverkusen,be BEL,FW,18,1.2,38,36,2,0,0,0,1,2,0,0,0,0,34,0,1,Matches
Niklas Lomb,Leverkusen,de GER,GK,30,1.0,25,23,2,0,0,0,0,0,0,0,0,0,22,0,0,Matches
Ken Izekor,Leverkusen,de GER,DF,16,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Ayman Aourir,Leverkusen,de GER,MF,18,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Federico Valverde,Real Madrid,uy URU,"MF,FW",25,47.5,2739,2689,40,29,15,46,43,6,0,0,0,0,2453,10,31,Matches
Antonio Rüdiger,Real Madrid,de GER,DF,30,45.3,2471,2402,63,38,3,18,8,10,0,0,0,0,2221,6,10,Matches
Rodrygo,Real Madrid,br BRA,FW,22,40.9,1379,1314,61,8,3,1,46,14,16,2,6,0,1221,4,25,Matches
Jude Bellingham,Real Madrid,eng ENG,"MF,FW",20,40.3,2130,2062,55,19,20,17,36,14,1,1,0,0,1880,13,38,Matches
Dani Carvajal,Real Madrid,es ESP,DF,31,37.2,1975,1697,277,47,3,4,64,230,0,0,0,0,1679,1,51,Matches
Toni Kroos,Real Madrid,de GER,MF,33,35.2,3436,3104,323,175,7,78,174,14,134,45,54,0,3145,9,20,Matches
Nacho,Real Madrid,es ESP,DF,33,34.8,1942,1811,129,62,0,7,3,10,0,0,0,0,1808,2,6,Matches
Vinicius Júnior,Real Madrid,br BRA,FW,23,34.1,992,955,32,6,12,26,94,11,7,0,0,0,724,5,53,Matches
Andriy Lunin,Real Madrid,ua UKR,GK,24,31.7,924,722,200,30,0,2,0,0,0,0,0,0,779,2,3,Matches
Ferland Mendy,Real Madrid,fr FRA,DF,28,31.4,1735,1535,200,17,0,5,10,183,0,0,0,0,1620,0,11,Matches
Eduardo Camavinga,Real Madrid,fr FRA,MF,20,31.3,1836,1773,55,31,7,12,7,23,0,0,0,0,1665,8,21,Matches
