,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
46.1,MF,30,50,47,"4,148",4,2,6,4,0,0,7,0,0.06,0.15,Matches,6.2,83,498,65,0.09,0.04,0.13,0.09,0.13,0.06,0.09,0.15
45.2,DF,27,51,45,"4,071",12,18,30,12,0,0,3,0,0.18,0.47,Matches,19.0,113,209,334,0.27,0.40,0.66,0.27,0.66,0.18,0.29,0.47
44.3,DF,27,48,45,"3,983",6,1,7,6,0,0,10,0,0.06,0.07,Matches,2.8,18,181,7,0.14,0.02,0.16,0.14,0.16,0.06,0.01,0.07
38.7,DF,24,46,39,"3,486",3,1,4,3,0,0,7,0,0.05,0.09,Matches,2.9,66,219,16,0.08,0.03,0.10,0.08,0.10,0.05,0.03,0.09
38.4,"MF,FW",20,49,39,"3,456",18,19,37,16,2,2,7,0,0.32,0.62,Matches,21.1,186,296,371,0.47,0.49,0.96,0.42,0.91,0.34,0.30,0.64
37.1,"DF,MF",22,47,38,"3,343",14,10,24,14,0,0,7,0,0.37,0.61,Matches,19.5,186,60,433,0.38,0.27,0.65,0.38,0.65,0.37,0.24,0.61
35.0,GK,33,35,35,"3,150",0,0,0,0,0,0,3,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,"MF,DF",28,45,31,"2,929",6,4,10,6,0,0,8,0,0.08,0.16,Matches,4.3,29,141,17,0.18,0.12,0.31,0.18,0.31,0.08,0.08,0.16
30.7,"MF,FW",31,46,32,"2,760",8,9,17,8,0,0,3,0,0.25,0.60,Matches,16.6,74,139,254,0.26,0.29,0.55,0.26,0.55,0.25,0.35,0.60
29.5,MF,24,36,30,"2,652",6,5,11,3,3,3,8,0,0.10,0.27,Matches,7.3,34,204,73,0.20,0.17,0.37,0.10,0.27,0.16,0.17,0.33
29.1,DF,21,43,29,"2,621",1,2,3,1,0,0,2,0,0.11,0.16,Matches,4.2,56,136,70,0.03,0.07,0.10,0.03,0.10,0.11,0.05,0.16
26.2,DF,23,38,25,"2,361",4,6,10,4,0,0,3,0,0.04,0.19,Matches,4.3,72,124,94,0.15,0.23,0.38,0.15,0.38,0.04,0.15,0.19
25.5,DF,22,34,27,"2,291",1,0,1,1,0,0,6,1,0.03,0.06,Matches,1.3,55,158,30,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06
25.2,"MF,FW",23,42,23,"2,267",10,11,21,9,1,1,6,0,0.32,0.56,Matches,11.6,61,72,248,0.40,0.44,0.83,0.36,0.79,0.32,0.24,0.56
23.3,FW,22,34,24,"2,099",21,10,31,16,5,5,3,0,0.75,0.98,Matches,21.0,60,44,182,0.90,0.43,1.33,0.69,1.11,0.94,0.23,1.17
17.3,"FW,MF",27,33,18,"1,556",13,0,13,12,1,1,2,0,0.52,0.61,Matches,9.2,13,23,106,0.75,0.00,0.75,0.69,0.69,0.58,0.08,0.66
17.0,GK,23,17,17,"1,530",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.4,"DF,FW",24,39,17,"1,479",6,3,9,6,0,0,2,0,0.26,0.57,Matches,8.8,64,43,165,0.37,0.18,0.55,0.37,0.55,0.26,0.31,0.57
11.3,"FW,MF",21,36,11,"1,017",7,5,12,7,0,0,3,0,0.49,0.68,Matches,6.8,29,31,58,0.62,0.44,1.06,0.62,1.06,0.49,0.19,0.68
4.7,FW,30,10,4,420,0,0,0,0,0,0,0,0,0.48,0.63,Matches,2.8,4,9,26,0.00,0.00,0.00,0.00,0.00,0.48,0.15,0.63
2.6,MF,20,10,2,234,0,0,0,0,0,0,0,0,0.06,0.09,Matches,0.2,5,11,9,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09
2.3,DF,20,5,2,206,0,2,2,0,0,0,0,0,0.04,0.19,Matches,0.4,8,7,28,0.00,0.87,0.87,0.00,0.87,0.04,0.15,0.19
1.7,MF,26,9,2,149,0,1,1,0,0,0,0,0,0.13,0.16,Matches,0.2,5,6,6,0.00,0.60,0.60,0.00,0.60,0.13,0.03,0.16
1.2,FW,18,6,0,108,0,2,2,0,0,0,0,0,0.12,0.77,Matches,0.8,3,5,3,0.00,1.67,1.67,0.00,1.67,0.12,0.64,0.77
1.0,GK,30,1,1,90,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,DF,16,1,0,14,0,0,0,0,0,0,0,0,0.34,0.34,Matches,0.1,2,0,0,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34
0.0,MF,18,1,0,3,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DF,25,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,16,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,26,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
47.5,"MF,FW",25,54,48,"4,271",3,7,10,3,0,0,2,0,0.11,0.25,Matches,10.8,131,297,137,0.06,0.15,0.21,0.06,0.21,0.11,0.14,0.25
45.3,DF,30,48,44,"4,079",2,2,4,2,0,0,8,0,0.05,0.11,Matches,4.6,17,115,1,0.04,0.04,0.09,0.04,0.09,0.05,0.06,0.11
40.9,FW,22,51,43,"3,683",17,8,25,17,0,1,2,0,0.44,0.60,Matches,22.7,208,118,383,0.42,0.20,0.61,0.42,0.61,0.46,0.16,0.62
40.3,"MF,FW",20,42,41,"3,629",23,13,36,22,1,1,9,1,0.37,0.58,Matches,21.3,121,265,253,0.57,0.32,0.89,0.55,0.87,0.39,0.22,0.61
37.2,DF,31,41,37,"3,347",6,6,12,6,0,0,9,1,0.07,0.18,Matches,6.1,43,107,211,0.16,0.16,0.32,0.16,0.32,0.07,0.11,0.18
35.2,MF,33,48,35,"3,171",1,10,11,1,0,0,5,0,0.06,0.26,Matches,8.7,39,368,38,0.03,0.28,0.31,0.03,0.31,0.06,0.20,0.26
34.8,DF,33,45,33,"3,131",0,1,1,0,0,0,5,2,0.03,0.07,Matches,2.2,17,75,10,0.00,0.03,0.03,0.00,0.03,0.03,0.04,0.07
